Datum Zeit,Zwickau-Werdauer Straße PM10
,µg/m³
31-05-16,10
30-05-16,11
29-05-16,25
28-05-16,26
27-05-16,31
26-05-16,23
25-05-16,19
24-05-16,14
23-05-16,12
22-05-16,14
21-05-16,13
20-05-16,12
19-05-16,18
18-05-16,15
17-05-16,16
16-05-16,7
15-05-16,7
14-05-16,16
13-05-16,21
12-05-16,20
11-05-16,21
10-05-16,18
09-05-16,14
08-05-16,16
07-05-16,19
06-05-16,20
05-05-16,17
04-05-16,17
03-05-16,19
02-05-16,24
01-05-16,36

