Datum Zeit,Goerlitz PM10
,µg/m³
31-05-16,17
30-05-16,21
29-05-16,19
28-05-16,17
27-05-16,21
26-05-16,31
25-05-16,19
24-05-16,22
23-05-16,26
22-05-16,18
21-05-16,22
20-05-16,25
19-05-16,24
18-05-16,29
17-05-16,17
16-05-16,9
15-05-16,8
14-05-16,17
13-05-16,19
12-05-16,25
11-05-16,20
10-05-16,18
09-05-16,16
08-05-16,16
07-05-16,25
06-05-16,24
05-05-16,24
04-05-16,14
03-05-16,25
02-05-16,25
01-05-16,32

