Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
31-05-16,8.73
30-05-16,10.52
29-05-16,12.75
28-05-16,13.49
27-05-16,16.26
26-05-16,17.87
25-05-16,16.00
24-05-16,11.34
23-05-16,9.40
22-05-16,9.17
21-05-16,10.26
20-05-16,
19-05-16,
18-05-16,
17-05-16,
16-05-16,4.87
15-05-16,4.48
14-05-16,8.57
13-05-16,13.48
12-05-16,14.73
11-05-16,13.47
10-05-16,10.10
09-05-16,9.98
08-05-16,9.29
07-05-16,11.15
06-05-16,12.39
05-05-16,11.83
04-05-16,8.17
03-05-16,14.26
02-05-16,16.05
01-05-16,39.12

