Datum Zeit,Collmberg PM2.5
,µg/m³
31-05-16,4.06
30-05-16,7.25
29-05-16,12.92
28-05-16,12.78
27-05-16,20.89
26-05-16,14.45
25-05-16,12.69
24-05-16,4.74
23-05-16,5.50
22-05-16,8.50
21-05-16,5.77
20-05-16,6.52
19-05-16,8.26
18-05-16,6.79
17-05-16,6.02
16-05-16,2.90
15-05-16,2.45
14-05-16,5.21
13-05-16,9.22
12-05-16,12.73
11-05-16,10.18
10-05-16,8.31
09-05-16,7.93
08-05-16,8.42
07-05-16,9.23
06-05-16,10.11
05-05-16,7.94
04-05-16,5.09
03-05-16,8.74
02-05-16,9.28
01-05-16,19.92

