Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-05-16,5.45
30-05-16,6.60
29-05-16,15.60
28-05-16,14.79
27-05-16,20.43
26-05-16,17.71
25-05-16,13.61
24-05-16,9.27
23-05-16,5.96
22-05-16,8.95
21-05-16,7.62
20-05-16,7.13
19-05-16,8.94
18-05-16,7.88
17-05-16,7.54
16-05-16,3.60
15-05-16,3.12
14-05-16,5.52
13-05-16,8.90
12-05-16,11.07
11-05-16,12.85
10-05-16,9.52
09-05-16,8.58
08-05-16,9.10
07-05-16,11.00
06-05-16,10.85
05-05-16,8.38
04-05-16,6.02
03-05-16,10.63
02-05-16,10.95
01-05-16,13.92

