Datum Zeit,Dresden-Nord PM2.5
,µg/m³
31-01-12,52.09
30-01-12,61.09
29-01-12,88.57
28-01-12,59.48
27-01-12,31.12
26-01-12,20.95
25-01-12,17.91
24-01-12,9.81
23-01-12,6.35
22-01-12,4.13
21-01-12,5.14
20-01-12,6.57
19-01-12,8.25
18-01-12,16.77
17-01-12,16.09
16-01-12,16.18
15-01-12,9.33
14-01-12,7.05
13-01-12,4.96
12-01-12,6.90
11-01-12,13.04
10-01-12,8.02
09-01-12,6.67
08-01-12,3.67
07-01-12,3.39
06-01-12,3.81
05-01-12,2.30
04-01-12,4.63
03-01-12,4.22
02-01-12,5.85
01-01-12,35.50

