Datum Zeit,Annaberg-Buchholz O3
,µg/m³
01-02-12 00:00,59
31-01-12 23:00,63
31-01-12 22:00,57
31-01-12 21:00,49
31-01-12 20:00,49
31-01-12 19:00,42
31-01-12 18:00,54
31-01-12 17:00,59
31-01-12 16:00,63
31-01-12 15:00,67
31-01-12 14:00,69
31-01-12 13:00,66
31-01-12 12:00,63
31-01-12 11:00,53
31-01-12 10:00,41
31-01-12 09:00,
31-01-12 08:00,20
31-01-12 07:00,21
31-01-12 06:00,28
31-01-12 05:00,29
31-01-12 04:00,32
31-01-12 03:00,45
31-01-12 02:00,52
31-01-12 01:00,65
31-01-12 00:00,66
30-01-12 23:00,58
30-01-12 22:00,56
30-01-12 21:00,53
30-01-12 20:00,59
30-01-12 19:00,62
30-01-12 18:00,59
30-01-12 17:00,56
30-01-12 16:00,
30-01-12 15:00,
30-01-12 14:00,
30-01-12 13:00,
30-01-12 12:00,61
30-01-12 11:00,56
30-01-12 10:00,49
30-01-12 09:00,46
30-01-12 08:00,39
30-01-12 07:00,37
30-01-12 06:00,48
30-01-12 05:00,56
30-01-12 04:00,62
30-01-12 03:00,70
30-01-12 02:00,73
30-01-12 01:00,73
30-01-12 00:00,73
29-01-12 23:00,73
29-01-12 22:00,70
29-01-12 21:00,67
29-01-12 20:00,65
29-01-12 19:00,58
29-01-12 18:00,61
29-01-12 17:00,59
29-01-12 16:00,56
29-01-12 15:00,54
29-01-12 14:00,58
29-01-12 13:00,56
29-01-12 12:00,48
29-01-12 11:00,44
29-01-12 10:00,45
29-01-12 09:00,31
29-01-12 08:00,47
29-01-12 07:00,54
29-01-12 06:00,52
29-01-12 05:00,48
29-01-12 04:00,49
29-01-12 03:00,46
29-01-12 02:00,38
29-01-12 01:00,33
29-01-12 00:00,32
28-01-12 23:00,33
28-01-12 22:00,27
28-01-12 21:00,24
28-01-12 20:00,21
28-01-12 19:00,24
28-01-12 18:00,22
28-01-12 17:00,24
28-01-12 16:00,33
28-01-12 15:00,27
28-01-12 14:00,16
28-01-12 13:00,17
28-01-12 12:00,19
28-01-12 11:00,22
28-01-12 10:00,20
28-01-12 09:00,10
28-01-12 08:00,5
28-01-12 07:00,4
28-01-12 06:00,3
28-01-12 05:00,10
28-01-12 04:00,16
28-01-12 03:00,16
28-01-12 02:00,16
28-01-12 01:00,17
28-01-12 00:00,24
27-01-12 23:00,27
27-01-12 22:00,22
27-01-12 21:00,18
27-01-12 20:00,12
27-01-12 19:00,12
27-01-12 18:00,17
27-01-12 17:00,22
27-01-12 16:00,26
27-01-12 15:00,35
27-01-12 14:00,37
27-01-12 13:00,47
27-01-12 12:00,46
27-01-12 11:00,42
27-01-12 10:00,25
27-01-12 09:00,21
27-01-12 08:00,28
27-01-12 07:00,36
27-01-12 06:00,38
27-01-12 05:00,46
27-01-12 04:00,46
27-01-12 03:00,46
27-01-12 02:00,43
27-01-12 01:00,43
27-01-12 00:00,40
26-01-12 23:00,38
26-01-12 22:00,35
26-01-12 21:00,30
26-01-12 20:00,27
26-01-12 19:00,30
26-01-12 18:00,24
26-01-12 17:00,33
26-01-12 16:00,42
26-01-12 15:00,41
26-01-12 14:00,43
26-01-12 13:00,42
26-01-12 12:00,36
26-01-12 11:00,25
26-01-12 10:00,10
26-01-12 09:00,7
26-01-12 08:00,4
26-01-12 07:00,3
26-01-12 06:00,5
26-01-12 05:00,7
26-01-12 04:00,18
26-01-12 03:00,19
26-01-12 02:00,22
26-01-12 01:00,23
26-01-12 00:00,25
25-01-12 23:00,23
25-01-12 22:00,36
25-01-12 21:00,24
25-01-12 20:00,24
25-01-12 19:00,11
25-01-12 18:00,5
25-01-12 17:00,16
25-01-12 16:00,32
25-01-12 15:00,33
25-01-12 14:00,30
25-01-12 13:00,31
25-01-12 12:00,28
25-01-12 11:00,37
25-01-12 10:00,28
25-01-12 09:00,13
25-01-12 08:00,10
25-01-12 07:00,11
25-01-12 06:00,24
25-01-12 05:00,39
25-01-12 04:00,38
25-01-12 03:00,44
25-01-12 02:00,49
25-01-12 01:00,44
25-01-12 00:00,50
24-01-12 23:00,53
24-01-12 22:00,48
24-01-12 21:00,41
24-01-12 20:00,54
24-01-12 19:00,40
24-01-12 18:00,40
24-01-12 17:00,44
24-01-12 16:00,40
24-01-12 15:00,44
24-01-12 14:00,43
24-01-12 13:00,43
24-01-12 12:00,41
24-01-12 11:00,40
24-01-12 10:00,48
24-01-12 09:00,41
24-01-12 08:00,36
24-01-12 07:00,45
24-01-12 06:00,55
24-01-12 05:00,57
24-01-12 04:00,58
24-01-12 03:00,56
24-01-12 02:00,61
24-01-12 01:00,62
24-01-12 00:00,59
23-01-12 23:00,57
23-01-12 22:00,52
23-01-12 21:00,40
23-01-12 20:00,40
23-01-12 19:00,38
23-01-12 18:00,40
23-01-12 17:00,41
23-01-12 16:00,35
23-01-12 15:00,52
23-01-12 14:00,56
23-01-12 13:00,53
23-01-12 12:00,51
23-01-12 11:00,49
23-01-12 10:00,58
23-01-12 09:00,53
23-01-12 08:00,53
23-01-12 07:00,52
23-01-12 06:00,60
23-01-12 05:00,64
23-01-12 04:00,65
23-01-12 03:00,64
23-01-12 02:00,66
23-01-12 01:00,63
23-01-12 00:00,61
22-01-12 23:00,61
22-01-12 22:00,61
22-01-12 21:00,60
22-01-12 20:00,58
22-01-12 19:00,58
22-01-12 18:00,58
22-01-12 17:00,57
22-01-12 16:00,57
22-01-12 15:00,60
22-01-12 14:00,61
22-01-12 13:00,62
22-01-12 12:00,62
22-01-12 11:00,63
22-01-12 10:00,59
22-01-12 09:00,62
22-01-12 08:00,62
22-01-12 07:00,64
22-01-12 06:00,64
22-01-12 05:00,65
22-01-12 04:00,66
22-01-12 03:00,68
22-01-12 02:00,70
22-01-12 01:00,68
22-01-12 00:00,68
21-01-12 23:00,65
21-01-12 22:00,41
21-01-12 21:00,52
21-01-12 20:00,47
21-01-12 19:00,46
21-01-12 18:00,45
21-01-12 17:00,44
21-01-12 16:00,47
21-01-12 15:00,48
21-01-12 14:00,52
21-01-12 13:00,51
21-01-12 12:00,55
21-01-12 11:00,53
21-01-12 10:00,53
21-01-12 09:00,47
21-01-12 08:00,53
21-01-12 07:00,55
21-01-12 06:00,58
21-01-12 05:00,59
21-01-12 04:00,60
21-01-12 03:00,58
21-01-12 02:00,58
21-01-12 01:00,58
21-01-12 00:00,57
20-01-12 23:00,59
20-01-12 22:00,58
20-01-12 21:00,54
20-01-12 20:00,50
20-01-12 19:00,51
20-01-12 18:00,55
20-01-12 17:00,54
20-01-12 16:00,57
20-01-12 15:00,63
20-01-12 14:00,64
20-01-12 13:00,64
20-01-12 12:00,63
20-01-12 11:00,63
20-01-12 10:00,64
20-01-12 09:00,65
20-01-12 08:00,59
20-01-12 07:00,43
20-01-12 06:00,27
20-01-12 05:00,50
20-01-12 04:00,55
20-01-12 03:00,56
20-01-12 02:00,56
20-01-12 01:00,61
20-01-12 00:00,61
19-01-12 23:00,60
19-01-12 22:00,57
19-01-12 21:00,53
19-01-12 20:00,41
19-01-12 19:00,30
19-01-12 18:00,31
19-01-12 17:00,30
19-01-12 16:00,30
19-01-12 15:00,32
19-01-12 14:00,32
19-01-12 13:00,25
19-01-12 12:00,16
19-01-12 11:00,14
19-01-12 10:00,7
19-01-12 09:00,12
19-01-12 08:00,12
19-01-12 07:00,21
19-01-12 06:00,35
19-01-12 05:00,37
19-01-12 04:00,42
19-01-12 03:00,45
19-01-12 02:00,47
19-01-12 01:00,44
19-01-12 00:00,40
18-01-12 23:00,49
18-01-12 22:00,53
18-01-12 21:00,55
18-01-12 20:00,48
18-01-12 19:00,28
18-01-12 18:00,21
18-01-12 17:00,24
18-01-12 16:00,36
18-01-12 15:00,52
18-01-12 14:00,52
18-01-12 13:00,53
18-01-12 12:00,38
18-01-12 11:00,21
18-01-12 10:00,14
18-01-12 09:00,7
18-01-12 08:00,4
18-01-12 07:00,4
18-01-12 06:00,10
18-01-12 05:00,19
18-01-12 04:00,25
18-01-12 03:00,26
18-01-12 02:00,27
18-01-12 01:00,30
18-01-12 00:00,46
17-01-12 23:00,51
17-01-12 22:00,51
17-01-12 21:00,44
17-01-12 20:00,41
17-01-12 19:00,40
17-01-12 18:00,36
17-01-12 17:00,35
17-01-12 16:00,35
17-01-12 15:00,40
17-01-12 14:00,40
17-01-12 13:00,43
17-01-12 12:00,42
17-01-12 11:00,41
17-01-12 10:00,42
17-01-12 09:00,37
17-01-12 08:00,37
17-01-12 07:00,38
17-01-12 06:00,43
17-01-12 05:00,43
17-01-12 04:00,46
17-01-12 03:00,46
17-01-12 02:00,47
17-01-12 01:00,48
17-01-12 00:00,46
16-01-12 23:00,45
16-01-12 22:00,41
16-01-12 21:00,37
16-01-12 20:00,35
16-01-12 19:00,38
16-01-12 18:00,43
16-01-12 17:00,33
16-01-12 16:00,34
16-01-12 15:00,38
16-01-12 14:00,39
16-01-12 13:00,33
16-01-12 12:00,33
16-01-12 11:00,32
16-01-12 10:00,31
16-01-12 09:00,28
16-01-12 08:00,28
16-01-12 07:00,36
16-01-12 06:00,47
16-01-12 05:00,50
16-01-12 04:00,50
16-01-12 03:00,41
16-01-12 02:00,33
16-01-12 01:00,37
16-01-12 00:00,44
15-01-12 23:00,44
15-01-12 22:00,46
15-01-12 21:00,49
15-01-12 20:00,50
15-01-12 19:00,51
15-01-12 18:00,47
15-01-12 17:00,43
15-01-12 16:00,50
15-01-12 15:00,52
15-01-12 14:00,54
15-01-12 13:00,59
15-01-12 12:00,58
15-01-12 11:00,55
15-01-12 10:00,54
15-01-12 09:00,51
15-01-12 08:00,54
15-01-12 07:00,51
15-01-12 06:00,53
15-01-12 05:00,54
15-01-12 04:00,53
15-01-12 03:00,52
15-01-12 02:00,54
15-01-12 01:00,52
15-01-12 00:00,51
14-01-12 23:00,53
14-01-12 22:00,52
14-01-12 21:00,53
14-01-12 20:00,54
14-01-12 19:00,53
14-01-12 18:00,52
14-01-12 17:00,56
14-01-12 16:00,59
14-01-12 15:00,59
14-01-12 14:00,59
14-01-12 13:00,58
14-01-12 12:00,60
14-01-12 11:00,59
14-01-12 10:00,59
14-01-12 09:00,61
14-01-12 08:00,62
14-01-12 07:00,63
14-01-12 06:00,64
14-01-12 05:00,65
14-01-12 04:00,65
14-01-12 03:00,63
14-01-12 02:00,64
14-01-12 01:00,62
14-01-12 00:00,61
13-01-12 23:00,62
13-01-12 22:00,63
13-01-12 21:00,63
13-01-12 20:00,62
13-01-12 19:00,59
13-01-12 18:00,54
13-01-12 17:00,58
13-01-12 16:00,57
13-01-12 15:00,61
13-01-12 14:00,60
13-01-12 13:00,60
13-01-12 12:00,60
13-01-12 11:00,62
