Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
31-01-12,45.67
30-01-12,58.12
29-01-12,104.67
28-01-12,72.80
27-01-12,32.31
26-01-12,23.19
25-01-12,18.12
24-01-12,12.00
23-01-12,7.09
22-01-12,4.53
21-01-12,6.38
20-01-12,8.43
19-01-12,10.97
18-01-12,19.63
17-01-12,16.63
16-01-12,21.30
15-01-12,13.18
14-01-12,7.37
13-01-12,6.07
12-01-12,10.37
11-01-12,17.62
10-01-12,10.16
09-01-12,9.10
08-01-12,4.64
07-01-12,5.20
06-01-12,6.11
05-01-12,3.95
04-01-12,7.40
03-01-12,6.22
02-01-12,5.83
01-01-12,31.23

