Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-01-12,54.60
30-01-12,65.70
29-01-12,95.74
28-01-12,61.04
27-01-12,32.55
26-01-12,20.18
25-01-12,18.87
24-01-12,9.45
23-01-12,3.86
22-01-12,3.55
21-01-12,4.48
20-01-12,6.32
19-01-12,5.89
18-01-12,10.70
17-01-12,15.11
16-01-12,15.46
15-01-12,8.68
14-01-12,6.01
13-01-12,4.72
12-01-12,5.74
11-01-12,10.77
10-01-12,6.34
09-01-12,5.01
08-01-12,3.72
07-01-12,4.07
06-01-12,3.64
05-01-12,2.21
04-01-12,3.69
03-01-12,3.14
02-01-12,4.36
01-01-12,44.04

