Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
31-01-12,59.51
30-01-12,71.23
29-01-12,94.85
28-01-12,60.72
27-01-12,33.68
26-01-12,22.21
25-01-12,21.48
24-01-12,11.02
23-01-12,6.94
22-01-12,4.57
21-01-12,5.44
20-01-12,6.52
19-01-12,7.99
18-01-12,15.66
17-01-12,14.97
16-01-12,16.09
15-01-12,7.75
14-01-12,6.55
13-01-12,5.53
12-01-12,8.45
11-01-12,12.76
10-01-12,8.16
09-01-12,7.32
08-01-12,3.89
07-01-12,5.23
06-01-12,4.03
05-01-12,3.85
04-01-12,5.69
03-01-12,5.85
02-01-12,6.42
01-01-12,38.88

