Datum Zeit,Fichtelberg O3
,µg/m³
01-02-12 00:00,16
31-01-12 23:00,52
31-01-12 22:00,61
31-01-12 21:00,61
31-01-12 20:00,53
31-01-12 19:00,46
31-01-12 18:00,44
31-01-12 17:00,54
31-01-12 16:00,65
31-01-12 15:00,71
31-01-12 14:00,76
31-01-12 13:00,67
31-01-12 12:00,58
31-01-12 11:00,55
31-01-12 10:00,46
31-01-12 09:00,42
31-01-12 08:00,31
31-01-12 07:00,36
31-01-12 06:00,36
31-01-12 05:00,44
31-01-12 04:00,45
31-01-12 03:00,51
31-01-12 02:00,46
31-01-12 01:00,33
31-01-12 00:00,28
30-01-12 23:00,50
30-01-12 22:00,61
30-01-12 21:00,63
30-01-12 20:00,65
30-01-12 19:00,68
30-01-12 18:00,70
30-01-12 17:00,71
30-01-12 16:00,73
30-01-12 15:00,75
30-01-12 14:00,75
30-01-12 13:00,76
30-01-12 12:00,77
30-01-12 11:00,77
30-01-12 10:00,66
30-01-12 09:00,60
30-01-12 08:00,59
30-01-12 07:00,58
30-01-12 06:00,59
30-01-12 05:00,59
30-01-12 04:00,59
30-01-12 03:00,61
30-01-12 02:00,65
30-01-12 01:00,66
30-01-12 00:00,68
29-01-12 23:00,68
29-01-12 22:00,67
29-01-12 21:00,67
29-01-12 20:00,69
29-01-12 19:00,72
29-01-12 18:00,69
29-01-12 17:00,68
29-01-12 16:00,69
29-01-12 15:00,71
29-01-12 14:00,71
29-01-12 13:00,75
29-01-12 12:00,71
29-01-12 11:00,63
29-01-12 10:00,63
29-01-12 09:00,61
29-01-12 08:00,65
29-01-12 07:00,62
29-01-12 06:00,54
29-01-12 05:00,52
29-01-12 04:00,54
29-01-12 03:00,48
29-01-12 02:00,49
29-01-12 01:00,51
29-01-12 00:00,55
28-01-12 23:00,53
28-01-12 22:00,54
28-01-12 21:00,43
28-01-12 20:00,34
28-01-12 19:00,27
28-01-12 18:00,24
28-01-12 17:00,23
28-01-12 16:00,34
28-01-12 15:00,52
28-01-12 14:00,41
28-01-12 13:00,63
28-01-12 12:00,81
28-01-12 11:00,78
28-01-12 10:00,80
28-01-12 09:00,80
28-01-12 08:00,78
28-01-12 07:00,66
28-01-12 06:00,66
28-01-12 05:00,56
28-01-12 04:00,71
28-01-12 03:00,67
28-01-12 02:00,58
28-01-12 01:00,66
28-01-12 00:00,71
27-01-12 23:00,65
27-01-12 22:00,66
27-01-12 21:00,72
27-01-12 20:00,67
27-01-12 19:00,81
27-01-12 18:00,84
27-01-12 17:00,84
27-01-12 16:00,85
27-01-12 15:00,84
27-01-12 14:00,82
27-01-12 13:00,81
27-01-12 12:00,80
27-01-12 11:00,80
27-01-12 10:00,78
27-01-12 09:00,77
27-01-12 08:00,79
27-01-12 07:00,78
27-01-12 06:00,77
27-01-12 05:00,77
27-01-12 04:00,75
27-01-12 03:00,74
27-01-12 02:00,73
27-01-12 01:00,72
27-01-12 00:00,70
26-01-12 23:00,67
26-01-12 22:00,63
26-01-12 21:00,58
26-01-12 20:00,58
26-01-12 19:00,57
26-01-12 18:00,57
26-01-12 17:00,58
26-01-12 16:00,63
26-01-12 15:00,60
26-01-12 14:00,61
26-01-12 13:00,61
26-01-12 12:00,60
26-01-12 11:00,57
26-01-12 10:00,54
26-01-12 09:00,53
26-01-12 08:00,51
26-01-12 07:00,76
26-01-12 06:00,53
26-01-12 05:00,50
26-01-12 04:00,47
26-01-12 03:00,45
26-01-12 02:00,51
26-01-12 01:00,60
26-01-12 00:00,59
25-01-12 23:00,56
25-01-12 22:00,51
25-01-12 21:00,48
25-01-12 20:00,50
25-01-12 19:00,57
25-01-12 18:00,65
25-01-12 17:00,57
25-01-12 16:00,61
25-01-12 15:00,64
25-01-12 14:00,59
25-01-12 13:00,59
25-01-12 12:00,59
25-01-12 11:00,58
25-01-12 10:00,60
25-01-12 09:00,61
25-01-12 08:00,63
25-01-12 07:00,62
25-01-12 06:00,61
25-01-12 05:00,62
25-01-12 04:00,62
25-01-12 03:00,62
25-01-12 02:00,63
25-01-12 01:00,63
25-01-12 00:00,64
24-01-12 23:00,64
24-01-12 22:00,66
24-01-12 21:00,64
24-01-12 20:00,66
24-01-12 19:00,65
24-01-12 18:00,63
24-01-12 17:00,60
24-01-12 16:00,59
24-01-12 15:00,57
24-01-12 14:00,63
24-01-12 13:00,63
24-01-12 12:00,64
24-01-12 11:00,63
24-01-12 10:00,62
24-01-12 09:00,61
24-01-12 08:00,60
24-01-12 07:00,63
24-01-12 06:00,64
24-01-12 05:00,62
24-01-12 04:00,64
24-01-12 03:00,61
24-01-12 02:00,68
24-01-12 01:00,67
24-01-12 00:00,70
23-01-12 23:00,68
23-01-12 22:00,58
23-01-12 21:00,54
23-01-12 20:00,55
23-01-12 19:00,57
