Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-01-12,46.60
30-01-12,31.06
29-01-12,61.20
28-01-12,45.53
27-01-12,30.95
26-01-12,26.77
25-01-12,19.62
24-01-12,9.50
23-01-12,5.01
22-01-12,3.22
21-01-12,4.30
20-01-12,5.86
19-01-12,8.06
18-01-12,15.15
17-01-12,13.09
16-01-12,15.71
15-01-12,9.03
14-01-12,6.27
13-01-12,3.76
12-01-12,6.56
11-01-12,12.47
10-01-12,8.31
09-01-12,6.82
08-01-12,3.46
07-01-12,4.03
06-01-12,4.37
05-01-12,2.72
04-01-12,4.42
03-01-12,4.92
02-01-12,3.90
01-01-12,25.40

