Datum Zeit,Dresden-Winckelmannstr. NO
,µg/m³
01-02-12 00:00,5
31-01-12 23:00,4
31-01-12 22:00,1
31-01-12 21:00,1
31-01-12 20:00,1
31-01-12 19:00,1
31-01-12 18:00,1
31-01-12 17:00,2
31-01-12 16:00,2
31-01-12 15:00,3
31-01-12 14:00,4
31-01-12 13:00,5
31-01-12 12:00,5
31-01-12 11:00,12
31-01-12 10:00,17
31-01-12 09:00,13
31-01-12 08:00,4
31-01-12 07:00,2
31-01-12 06:00,1
31-01-12 05:00,1
31-01-12 04:00,1
31-01-12 03:00,1
31-01-12 02:00,1
31-01-12 01:00,1
31-01-12 00:00,1
30-01-12 23:00,1
30-01-12 22:00,1
30-01-12 21:00,1
30-01-12 20:00,1
30-01-12 19:00,1
30-01-12 18:00,1
30-01-12 17:00,1
30-01-12 16:00,3
30-01-12 15:00,3
30-01-12 14:00,4
30-01-12 13:00,5
30-01-12 12:00,10
30-01-12 11:00,16
30-01-12 10:00,21
30-01-12 09:00,14
30-01-12 08:00,7
30-01-12 07:00,4
30-01-12 06:00,1
30-01-12 05:00,1
30-01-12 04:00,1
30-01-12 03:00,1
30-01-12 02:00,1
30-01-12 01:00,1
30-01-12 00:00,1
29-01-12 23:00,1
29-01-12 22:00,2
29-01-12 21:00,1
29-01-12 20:00,1
29-01-12 19:00,1
29-01-12 18:00,1
29-01-12 17:00,1
29-01-12 16:00,1
29-01-12 15:00,2
29-01-12 14:00,3
29-01-12 13:00,3
29-01-12 12:00,5
29-01-12 11:00,6
29-01-12 10:00,5
29-01-12 09:00,29
29-01-12 08:00,15
29-01-12 07:00,2
29-01-12 06:00,3
29-01-12 05:00,1
29-01-12 04:00,1
29-01-12 03:00,1
29-01-12 02:00,1
29-01-12 01:00,1
29-01-12 00:00,2
28-01-12 23:00,2
28-01-12 22:00,1
28-01-12 21:00,1
28-01-12 20:00,3
28-01-12 19:00,4
28-01-12 18:00,3
28-01-12 17:00,1
28-01-12 16:00,2
28-01-12 15:00,2
28-01-12 14:00,2
28-01-12 13:00,3
28-01-12 12:00,4
28-01-12 11:00,7
28-01-12 10:00,3
28-01-12 09:00,2
28-01-12 08:00,1
28-01-12 07:00,1
28-01-12 06:00,1
28-01-12 05:00,1
28-01-12 04:00,1
28-01-12 03:00,1
28-01-12 02:00,1
28-01-12 01:00,1
28-01-12 00:00,1
27-01-12 23:00,2
27-01-12 22:00,5
27-01-12 21:00,4
27-01-12 20:00,3
27-01-12 19:00,4
27-01-12 18:00,3
27-01-12 17:00,2
27-01-12 16:00,5
27-01-12 15:00,5
27-01-12 14:00,5
27-01-12 13:00,8
27-01-12 12:00,8
27-01-12 11:00,8
27-01-12 10:00,6
27-01-12 09:00,6
27-01-12 08:00,5
27-01-12 07:00,1
27-01-12 06:00,1
27-01-12 05:00,1
27-01-12 04:00,1
27-01-12 03:00,1
27-01-12 02:00,1
27-01-12 01:00,1
27-01-12 00:00,1
26-01-12 23:00,1
26-01-12 22:00,1
26-01-12 21:00,1
26-01-12 20:00,1
26-01-12 19:00,5
26-01-12 18:00,7
26-01-12 17:00,3
26-01-12 16:00,3
26-01-12 15:00,4
26-01-12 14:00,4
26-01-12 13:00,6
26-01-12 12:00,7
26-01-12 11:00,10
26-01-12 10:00,20
26-01-12 09:00,37
26-01-12 08:00,13
26-01-12 07:00,8
26-01-12 06:00,2
26-01-12 05:00,1
26-01-12 04:00,1
26-01-12 03:00,1
26-01-12 02:00,1
26-01-12 01:00,1
26-01-12 00:00,1
25-01-12 23:00,1
25-01-12 22:00,1
25-01-12 21:00,1
25-01-12 20:00,1
25-01-12 19:00,2
25-01-12 18:00,3
25-01-12 17:00,3
25-01-12 16:00,4
25-01-12 15:00,9
25-01-12 14:00,21
25-01-12 13:00,31
25-01-12 12:00,36
25-01-12 11:00,49
25-01-12 10:00,31
25-01-12 09:00,36
25-01-12 08:00,34
25-01-12 07:00,16
25-01-12 06:00,8
25-01-12 05:00,2
25-01-12 04:00,1
25-01-12 03:00,1
25-01-12 02:00,1
25-01-12 01:00,1
25-01-12 00:00,1
24-01-12 23:00,3
24-01-12 22:00,1
24-01-12 21:00,1
24-01-12 20:00,3
24-01-12 19:00,4
24-01-12 18:00,5
24-01-12 17:00,4
24-01-12 16:00,3
24-01-12 15:00,2
24-01-12 14:00,2
24-01-12 13:00,4
24-01-12 12:00,7
24-01-12 11:00,4
24-01-12 10:00,5
24-01-12 09:00,3
24-01-12 08:00,4
24-01-12 07:00,1
24-01-12 06:00,1
24-01-12 05:00,1
24-01-12 04:00,1
24-01-12 03:00,1
24-01-12 02:00,1
24-01-12 01:00,1
24-01-12 00:00,1
23-01-12 23:00,1
23-01-12 22:00,1
23-01-12 21:00,1
23-01-12 20:00,1
23-01-12 19:00,1
23-01-12 18:00,1
23-01-12 17:00,1
23-01-12 16:00,
23-01-12 15:00,
23-01-12 14:00,
23-01-12 13:00,
23-01-12 12:00,
23-01-12 11:00,23
23-01-12 10:00,5
23-01-12 09:00,4
23-01-12 08:00,1
23-01-12 07:00,1
23-01-12 06:00,1
23-01-12 05:00,1
23-01-12 04:00,1
23-01-12 03:00,1
23-01-12 02:00,1
23-01-12 01:00,1
23-01-12 00:00,1
22-01-12 23:00,1
22-01-12 22:00,1
22-01-12 21:00,1
22-01-12 20:00,1
22-01-12 19:00,1
22-01-12 18:00,1
22-01-12 17:00,1
22-01-12 16:00,1
22-01-12 15:00,1
22-01-12 14:00,1
22-01-12 13:00,1
22-01-12 12:00,1
22-01-12 11:00,1
22-01-12 10:00,1
22-01-12 09:00,1
22-01-12 08:00,1
22-01-12 07:00,1
22-01-12 06:00,1
22-01-12 05:00,1
22-01-12 04:00,1
22-01-12 03:00,1
22-01-12 02:00,1
22-01-12 01:00,1
22-01-12 00:00,1
21-01-12 23:00,1
21-01-12 22:00,1
21-01-12 21:00,1
21-01-12 20:00,1
21-01-12 19:00,1
21-01-12 18:00,1
21-01-12 17:00,1
