Datum Zeit,Annaberg-Buchholz PM2.5
,µg/m³
31-01-12,29.84
30-01-12,31.96
29-01-12,40.29
28-01-12,45.33
27-01-12,25.94
26-01-12,24.13
25-01-12,14.45
24-01-12,4.51
23-01-12,3.56
22-01-12,2.76
21-01-12,3.13
20-01-12,3.71
19-01-12,3.85
18-01-12,14.60
17-01-12,7.94
16-01-12,10.67
15-01-12,6.74
14-01-12,5.04
13-01-12,5.85
12-01-12,4.06
11-01-12,10.47
10-01-12,7.18
09-01-12,4.38
08-01-12,2.43
07-01-12,4.80
06-01-12,2.78
05-01-12,1.69
04-01-12,
03-01-12,
02-01-12,
01-01-12,

