Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-01-12,42.30
30-01-12,54.87
29-01-12,101.20
28-01-12,70.16
27-01-12,27.68
26-01-12,19.11
25-01-12,16.50
24-01-12,6.56
23-01-12,3.19
22-01-12,3.45
21-01-12,4.03
20-01-12,5.67
19-01-12,6.95
18-01-12,13.70
17-01-12,12.27
16-01-12,15.13
15-01-12,10.94
14-01-12,7.00
13-01-12,4.98
12-01-12,4.94
11-01-12,11.92
10-01-12,6.83
09-01-12,5.69
08-01-12,2.83
07-01-12,4.17
06-01-12,3.32
05-01-12,1.82
04-01-12,4.01
03-01-12,3.66
02-01-12,2.80
01-01-12,27.74

