Datum Zeit,Collmberg SO2
,µg/m³
01-11-03 00:00,3.7
31-10-03 23:00,4.4
31-10-03 22:00,5.7
31-10-03 21:00,5.3
31-10-03 20:00,6.4
31-10-03 19:00,7.1
31-10-03 18:00,3.8
31-10-03 17:00,6.6
31-10-03 16:00,5.5
31-10-03 15:00,4.6
31-10-03 14:00,5.0
31-10-03 13:00,5.3
31-10-03 12:00,5.2
31-10-03 11:00,4.2
31-10-03 10:00,3.5
31-10-03 09:00,3.3
31-10-03 08:00,3.7
31-10-03 07:00,2.9
31-10-03 06:00,1.0
31-10-03 05:00,1.0
31-10-03 04:00,1.2
31-10-03 03:00,1.1
31-10-03 02:00,1.0
31-10-03 01:00,1.0
31-10-03 00:00,1.0
30-10-03 23:00,1.0
30-10-03 22:00,1.0
30-10-03 21:00,1.0
30-10-03 20:00,1.1
30-10-03 19:00,1.1
30-10-03 18:00,1.0
30-10-03 17:00,1.0
30-10-03 16:00,1.0
30-10-03 15:00,1.1
30-10-03 14:00,1.2
30-10-03 13:00,
30-10-03 12:00,
30-10-03 11:00,1.1
30-10-03 10:00,1.2
30-10-03 09:00,1.2
30-10-03 08:00,1.0
30-10-03 07:00,1.1
30-10-03 06:00,1.1
30-10-03 05:00,1.6
30-10-03 04:00,2.5
30-10-03 03:00,3.9
30-10-03 02:00,11.7
30-10-03 01:00,14.8
30-10-03 00:00,16.4
29-10-03 23:00,30.1
29-10-03 22:00,27.2
29-10-03 21:00,16.4
29-10-03 20:00,10.0
29-10-03 19:00,8.2
29-10-03 18:00,10.6
29-10-03 17:00,14.6
29-10-03 16:00,19.4
29-10-03 15:00,13.8
29-10-03 14:00,11.5
29-10-03 13:00,15.8
29-10-03 12:00,21.4
29-10-03 11:00,9.3
29-10-03 10:00,11.8
29-10-03 09:00,12.9
29-10-03 08:00,11.9
29-10-03 07:00,12.8
29-10-03 06:00,12.7
29-10-03 05:00,18.1
29-10-03 04:00,12.4
29-10-03 03:00,10.8
29-10-03 02:00,15.0
29-10-03 01:00,13.2
29-10-03 00:00,9.7
28-10-03 23:00,9.2
28-10-03 22:00,10.3
28-10-03 21:00,10.4
28-10-03 20:00,7.8
28-10-03 19:00,3.4
28-10-03 18:00,1.7
28-10-03 17:00,1.3
28-10-03 16:00,1.1
28-10-03 15:00,1.1
28-10-03 14:00,1.2
28-10-03 13:00,1.7
28-10-03 12:00,2.7
28-10-03 11:00,3.5
28-10-03 10:00,3.5
28-10-03 09:00,3.8
28-10-03 08:00,3.7
28-10-03 07:00,4.9
28-10-03 06:00,2.1
28-10-03 05:00,1.4
28-10-03 04:00,1.2
28-10-03 03:00,1.2
28-10-03 02:00,1.2
28-10-03 01:00,1.3
28-10-03 00:00,1.4
27-10-03 23:00,1.5
27-10-03 22:00,1.4
27-10-03 21:00,1.3
27-10-03 20:00,1.0
27-10-03 19:00,1.0
27-10-03 18:00,1.0
27-10-03 17:00,1.0
27-10-03 16:00,1.3
27-10-03 15:00,1.7
27-10-03 14:00,1.7
27-10-03 13:00,2.3
27-10-03 12:00,2.0
27-10-03 11:00,1.0
27-10-03 10:00,1.0
27-10-03 09:00,1.0
27-10-03 08:00,1.0
27-10-03 07:00,1.0
27-10-03 06:00,1.0
27-10-03 05:00,1.0
27-10-03 04:00,1.0
27-10-03 03:00,1.0
27-10-03 02:00,1.0
27-10-03 01:00,1.0
27-10-03 00:00,1.0
26-10-03 23:00,1.0
26-10-03 22:00,1.0
26-10-03 21:00,1.0
26-10-03 20:00,1.0
26-10-03 19:00,1.3
26-10-03 18:00,1.3
26-10-03 17:00,1.3
26-10-03 16:00,1.1
26-10-03 15:00,1.3
26-10-03 14:00,1.5
26-10-03 13:00,1.9
26-10-03 12:00,2.6
26-10-03 11:00,2.0
26-10-03 10:00,2.7
26-10-03 09:00,1.7
26-10-03 08:00,1.5
26-10-03 07:00,1.8
26-10-03 06:00,1.9
26-10-03 05:00,1.6
26-10-03 04:00,1.4
26-10-03 03:00,1.3
26-10-03 02:00,1.6
26-10-03 01:00,1.9
26-10-03 00:00,1.2
25-10-03 23:00,1.4
25-10-03 22:00,1.6
25-10-03 21:00,1.7
25-10-03 20:00,1.5
25-10-03 19:00,1.7
25-10-03 18:00,1.9
25-10-03 17:00,1.8
25-10-03 16:00,3.7
25-10-03 15:00,5.7
25-10-03 14:00,4.6
25-10-03 13:00,1.9
25-10-03 12:00,2.2
25-10-03 11:00,4.1
25-10-03 10:00,4.1
25-10-03 09:00,3.6
25-10-03 08:00,2.5
25-10-03 07:00,2.5
25-10-03 06:00,2.7
25-10-03 05:00,2.0
25-10-03 04:00,2.3
25-10-03 03:00,2.0
25-10-03 02:00,2.0
25-10-03 01:00,2.2
25-10-03 00:00,2.8
24-10-03 23:00,3.7
24-10-03 22:00,3.6
24-10-03 21:00,3.2
