Datum Zeit,Bautzen NO2
,µg/m³
01-11-03 00:00,15
31-10-03 23:00,15
31-10-03 22:00,14
31-10-03 21:00,18
31-10-03 20:00,19
31-10-03 19:00,19
31-10-03 18:00,18
31-10-03 17:00,19
31-10-03 16:00,19
31-10-03 15:00,16
31-10-03 14:00,13
31-10-03 13:00,12
31-10-03 12:00,10
31-10-03 11:00,10
31-10-03 10:00,12
31-10-03 09:00,16
31-10-03 08:00,22
31-10-03 07:00,28
31-10-03 06:00,31
31-10-03 05:00,28
31-10-03 04:00,27
31-10-03 03:00,31
31-10-03 02:00,32
31-10-03 01:00,32
31-10-03 00:00,37
30-10-03 23:00,37
30-10-03 22:00,37
30-10-03 21:00,38
30-10-03 20:00,50
30-10-03 19:00,54
30-10-03 18:00,52
30-10-03 17:00,46
30-10-03 16:00,38
30-10-03 15:00,42
30-10-03 14:00,28
30-10-03 13:00,25
30-10-03 12:00,23
30-10-03 11:00,22
30-10-03 10:00,20
30-10-03 09:00,18
30-10-03 08:00,21
30-10-03 07:00,20
30-10-03 06:00,16
30-10-03 05:00,14
30-10-03 04:00,13
30-10-03 03:00,13
30-10-03 02:00,12
30-10-03 01:00,11
30-10-03 00:00,11
29-10-03 23:00,12
29-10-03 22:00,13
29-10-03 21:00,14
29-10-03 20:00,16
29-10-03 19:00,17
29-10-03 18:00,17
29-10-03 17:00,17
29-10-03 16:00,16
29-10-03 15:00,14
29-10-03 14:00,12
29-10-03 13:00,12
29-10-03 12:00,12
29-10-03 11:00,11
29-10-03 10:00,11
29-10-03 09:00,11
29-10-03 08:00,12
29-10-03 07:00,12
29-10-03 06:00,11
29-10-03 05:00,11
29-10-03 04:00,11
29-10-03 03:00,11
29-10-03 02:00,11
29-10-03 01:00,11
29-10-03 00:00,12
28-10-03 23:00,12
28-10-03 22:00,12
28-10-03 21:00,16
28-10-03 20:00,18
28-10-03 19:00,23
28-10-03 18:00,34
28-10-03 17:00,31
28-10-03 16:00,20
28-10-03 15:00,17
28-10-03 14:00,17
28-10-03 13:00,20
28-10-03 12:00,26
28-10-03 11:00,24
28-10-03 10:00,25
28-10-03 09:00,33
28-10-03 08:00,40
28-10-03 07:00,36
28-10-03 06:00,35
28-10-03 05:00,26
28-10-03 04:00,21
28-10-03 03:00,20
28-10-03 02:00,23
28-10-03 01:00,28
