Datum Zeit,Plauen-Sued PM10
,µg/m³
31-10-09,30
30-10-09,29
29-10-09,55
28-10-09,33
27-10-09,16
26-10-09,21
25-10-09,19
24-10-09,26
23-10-09,37
22-10-09,64
21-10-09,50
20-10-09,27
19-10-09,16
18-10-09,4
17-10-09,4
16-10-09,8
15-10-09,11
14-10-09,8
13-10-09,7
12-10-09,5
11-10-09,9
10-10-09,23
09-10-09,27
08-10-09,16
07-10-09,21
06-10-09,20
05-10-09,20
04-10-09,10
03-10-09,21
02-10-09,18
01-10-09,19

