Datum Zeit,Radebeul-Wahnsdorf PM2.5
,µg/m³
31-10-09,32.46
30-10-09,17.83
29-10-09,26.15
28-10-09,21.20
27-10-09,10.53
26-10-09,13.65
25-10-09,27.52
24-10-09,46.05
23-10-09,40.86
22-10-09,49.42
21-10-09,40.06
20-10-09,31.48
19-10-09,17.72
18-10-09,10.05
17-10-09,10.26
16-10-09,11.47
15-10-09,7.19
14-10-09,7.54
13-10-09,8.54
12-10-09,7.78
11-10-09,12.98
10-10-09,24.57
09-10-09,20.02
08-10-09,16.62
07-10-09,
06-10-09,
05-10-09,
04-10-09,
03-10-09,
02-10-09,
01-10-09,

