Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-10-09,27.58
30-10-09,15.32
29-10-09,17.26
28-10-09,14.81
27-10-09,5.84
26-10-09,9.46
25-10-09,24.01
24-10-09,39.23
23-10-09,33.86
22-10-09,39.63
21-10-09,34.84
20-10-09,24.54
19-10-09,13.70
18-10-09,4.77
17-10-09,4.37
16-10-09,3.05
15-10-09,2.35
14-10-09,2.55
13-10-09,2.64
12-10-09,2.21
11-10-09,5.69
10-10-09,13.45
09-10-09,8.46
08-10-09,5.55
07-10-09,8.18
06-10-09,13.35
05-10-09,6.51
04-10-09,4.38
03-10-09,6.98
02-10-09,5.42
01-10-09,6.87

