Datum Zeit,Zwickau-Werdauer Straße PM10
,µg/m³
31-10-09,37
30-10-09,33
29-10-09,48
28-10-09,32
27-10-09,18
26-10-09,20
25-10-09,19
24-10-09,38
23-10-09,55
22-10-09,63
21-10-09,44
20-10-09,29
19-10-09,18
18-10-09,5
17-10-09,5
16-10-09,13
15-10-09,13
14-10-09,10
13-10-09,11
12-10-09,7
11-10-09,9
10-10-09,19
09-10-09,24
08-10-09,16
07-10-09,23
06-10-09,17
05-10-09,21
04-10-09,13
03-10-09,18
02-10-09,19
01-10-09,21

