Datum,Zeit,BEN,NO,NO2,O3,PM10,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-06-01,01:00,,6,15,,,
2017-06-01,02:00,,3,12,,,
2017-06-01,03:00,,5,17,,,
2017-06-01,04:00,,15,27,,,
2017-06-01,05:00,,31,48,,,
2017-06-01,06:00,,56,52,,,
2017-06-01,07:00,,86,63,,,
2017-06-01,08:00,,61,54,,,
2017-06-01,09:00,,52,50,,,
2017-06-01,10:00,,46,44,,,
2017-06-01,11:00,,42,46,,,
2017-06-01,12:00,,38,42,,,
2017-06-01,13:00,,34,40,,,
2017-06-01,14:00,,52,57,,,
2017-06-01,15:00,,61,63,,,
2017-06-01,16:00,,62,80,,,
2017-06-01,17:00,,41,63,,,
2017-06-01,18:00,,33,56,,,
2017-06-01,19:00,,23,41,,,
2017-06-01,20:00,,35,54,,,
2017-06-01,21:00,,26,56,,,
2017-06-01,22:00,,44,76,,,
2017-06-01,23:00,,45,74,,,
2017-06-02,00:00,,22,55,,,
2017-06-02,01:00,,27,48,,,
2017-06-02,02:00,,32,46,,,
2017-06-02,03:00,,34,44,,,
2017-06-02,04:00,,24,36,,,
2017-06-02,05:00,,35,37,,,
2017-06-02,06:00,,55,44,,,
2017-06-02,07:00,,52,42,,,
2017-06-02,08:00,,60,54,,,
2017-06-02,09:00,,31,50,,,
2017-06-02,10:00,,37,54,,,
2017-06-02,11:00,,25,39,,,
2017-06-02,12:00,,39,62,,,
2017-06-02,13:00,,52,73,,,
2017-06-02,14:00,,50,80,,,
2017-06-02,15:00,,42,76,,,
2017-06-02,16:00,,45,85,,,
2017-06-02,17:00,,34,73,,,
2017-06-02,18:00,,35,64,,,
2017-06-02,19:00,,20,52,,,
2017-06-02,20:00,,26,62,,,
2017-06-02,21:00,,24,73,,,
2017-06-02,22:00,,30,80,,,
2017-06-02,23:00,,16,58,,,
2017-06-03,00:00,,8,30,,,
2017-06-03,01:00,,5,23,,,
2017-06-03,02:00,,5,24,,,
2017-06-03,03:00,,6,27,,,
2017-06-03,04:00,,9,26,,,
2017-06-03,05:00,,10,32,,,
2017-06-03,06:00,,11,33,,,
2017-06-03,07:00,,20,36,,,
2017-06-03,08:00,,23,39,,,
2017-06-03,09:00,,33,44,,,
2017-06-03,10:00,,32,49,,,
2017-06-03,11:00,,46,57,,,
2017-06-03,12:00,,29,56,,,
2017-06-03,13:00,,24,63,,,
2017-06-03,14:00,,27,62,,,
2017-06-03,15:00,,22,56,,,
2017-06-03,16:00,,21,68,,,
2017-06-03,17:00,,26,81,,,
2017-06-03,18:00,,9,36,,,
2017-06-03,19:00,,20,62,,,
2017-06-03,20:00,,15,57,,,
2017-06-03,21:00,,6,31,,,
2017-06-03,22:00,,16,43,,,
2017-06-03,23:00,,17,49,,,
2017-06-04,00:00,,14,38,,,
2017-06-04,01:00,,15,39,,,
2017-06-04,02:00,,9,29,,,
2017-06-04,03:00,,7,28,,,
