Datum Zeit,Radebeul-Wahnsdorf NO2
,µg/m³
01-04-03 00:00,28
31-03-03 23:00,24
31-03-03 22:00,17
31-03-03 21:00,13
31-03-03 20:00,10
31-03-03 19:00,10
31-03-03 18:00,7
31-03-03 17:00,7
31-03-03 16:00,7
31-03-03 15:00,6
31-03-03 14:00,6
31-03-03 13:00,7
31-03-03 12:00,8
31-03-03 11:00,9
31-03-03 10:00,10
31-03-03 09:00,10
31-03-03 08:00,11
31-03-03 07:00,12
31-03-03 06:00,9
31-03-03 05:00,9
31-03-03 04:00,9
31-03-03 03:00,11
31-03-03 02:00,11
31-03-03 01:00,11
31-03-03 00:00,11
30-03-03 23:00,7
30-03-03 22:00,8
30-03-03 21:00,10
30-03-03 20:00,12
30-03-03 19:00,12
30-03-03 18:00,9
30-03-03 17:00,8
30-03-03 16:00,8
30-03-03 15:00,11
30-03-03 14:00,13
30-03-03 13:00,11
30-03-03 12:00,14
30-03-03 11:00,18
30-03-03 10:00,21
30-03-03 09:00,22
30-03-03 08:00,22
30-03-03 07:00,21
30-03-03 06:00,20
30-03-03 05:00,21
30-03-03 04:00,26
30-03-03 03:00,36
30-03-03 02:00,47
30-03-03 01:00,37
30-03-03 00:00,24
29-03-03 23:00,25
29-03-03 22:00,23
29-03-03 21:00,23
29-03-03 20:00,19
29-03-03 19:00,15
29-03-03 18:00,13
29-03-03 17:00,10
29-03-03 16:00,10
29-03-03 15:00,12
29-03-03 14:00,12
29-03-03 13:00,14
29-03-03 12:00,19
29-03-03 11:00,22
29-03-03 10:00,22
29-03-03 09:00,25
29-03-03 08:00,27
29-03-03 07:00,31
29-03-03 06:00,31
29-03-03 05:00,32
29-03-03 04:00,33
29-03-03 03:00,37
29-03-03 02:00,38
29-03-03 01:00,50
29-03-03 00:00,65
28-03-03 23:00,49
28-03-03 22:00,41
28-03-03 21:00,57
28-03-03 20:00,42
28-03-03 19:00,30
28-03-03 18:00,32
28-03-03 17:00,36
28-03-03 16:00,26
28-03-03 15:00,21
28-03-03 14:00,18
28-03-03 13:00,18
28-03-03 12:00,19
28-03-03 11:00,27
28-03-03 10:00,44
28-03-03 09:00,51
28-03-03 08:00,41
28-03-03 07:00,51
28-03-03 06:00,47
28-03-03 05:00,16
28-03-03 04:00,18
28-03-03 03:00,15
28-03-03 02:00,13
28-03-03 01:00,22
28-03-03 00:00,17
27-03-03 23:00,10
27-03-03 22:00,12
27-03-03 21:00,13
27-03-03 20:00,19
27-03-03 19:00,21
27-03-03 18:00,18
27-03-03 17:00,19
27-03-03 16:00,23
27-03-03 15:00,24
27-03-03 14:00,26
27-03-03 13:00,18
27-03-03 12:00,22
27-03-03 11:00,26
27-03-03 10:00,34
27-03-03 09:00,56
27-03-03 08:00,50
27-03-03 07:00,35
27-03-03 06:00,22
27-03-03 05:00,20
27-03-03 04:00,19
27-03-03 03:00,18
27-03-03 02:00,18
27-03-03 01:00,18
27-03-03 00:00,19
26-03-03 23:00,21
26-03-03 22:00,20
26-03-03 21:00,25
26-03-03 20:00,32
26-03-03 19:00,38
26-03-03 18:00,25
26-03-03 17:00,18
26-03-03 16:00,17
26-03-03 15:00,17
26-03-03 14:00,16
26-03-03 13:00,24
26-03-03 12:00,33
26-03-03 11:00,31
26-03-03 10:00,47
26-03-03 09:00,37
26-03-03 08:00,42
26-03-03 07:00,44
26-03-03 06:00,28
26-03-03 05:00,17
26-03-03 04:00,15
26-03-03 03:00,15
26-03-03 02:00,15
26-03-03 01:00,16
26-03-03 00:00,15
25-03-03 23:00,15
25-03-03 22:00,16
25-03-03 21:00,17
25-03-03 20:00,17
25-03-03 19:00,15
25-03-03 18:00,13
25-03-03 17:00,12
25-03-03 16:00,18
25-03-03 15:00,17
25-03-03 14:00,14
25-03-03 13:00,15
25-03-03 12:00,19
25-03-03 11:00,33
25-03-03 10:00,36
25-03-03 09:00,36
25-03-03 08:00,35
25-03-03 07:00,30
25-03-03 06:00,23
25-03-03 05:00,24
25-03-03 04:00,26
25-03-03 03:00,30
25-03-03 02:00,43
25-03-03 01:00,52
25-03-03 00:00,55
24-03-03 23:00,64
24-03-03 22:00,59
24-03-03 21:00,31
24-03-03 20:00,26
24-03-03 19:00,20
24-03-03 18:00,17
24-03-03 17:00,14
24-03-03 16:00,12
24-03-03 15:00,10
24-03-03 14:00,9
24-03-03 13:00,10
24-03-03 12:00,14
24-03-03 11:00,21
24-03-03 10:00,40
24-03-03 09:00,46
24-03-03 08:00,38
24-03-03 07:00,29
24-03-03 06:00,22
24-03-03 05:00,21
24-03-03 04:00,20
24-03-03 03:00,23
24-03-03 02:00,27
24-03-03 01:00,33
24-03-03 00:00,39
23-03-03 23:00,46
23-03-03 22:00,48
23-03-03 21:00,22
23-03-03 20:00,11
23-03-03 19:00,12
23-03-03 18:00,13
23-03-03 17:00,13
23-03-03 16:00,12
23-03-03 15:00,13
23-03-03 14:00,16
23-03-03 13:00,20
23-03-03 12:00,22
23-03-03 11:00,21
23-03-03 10:00,23
23-03-03 09:00,27
23-03-03 08:00,22
23-03-03 07:00,21
23-03-03 06:00,24
23-03-03 05:00,22
23-03-03 04:00,21
23-03-03 03:00,29
23-03-03 02:00,30
23-03-03 01:00,33
23-03-03 00:00,39
22-03-03 23:00,24
22-03-03 22:00,30
22-03-03 21:00,23
22-03-03 20:00,23
22-03-03 19:00,27
22-03-03 18:00,15
22-03-03 17:00,8
22-03-03 16:00,7
22-03-03 15:00,8
