Datum Zeit,Collmberg PM2.5
,µg/m³
30-04-13,15.28
29-04-13,11.27
28-04-13,6.34
27-04-13,1.34
26-04-13,14.64
25-04-13,34.19
24-04-13,25.72
23-04-13,28.91
22-04-13,30.42
21-04-13,17.76
20-04-13,8.89
19-04-13,12.12
18-04-13,13.32
17-04-13,18.79
16-04-13,
15-04-13,11.64
14-04-13,7.90
13-04-13,7.29
12-04-13,4.80
11-04-13,7.45
10-04-13,23.21
09-04-13,37.40
08-04-13,17.33
07-04-13,13.85
06-04-13,8.44
05-04-13,21.73
04-04-13,23.07
03-04-13,22.01
02-04-13,19.68
01-04-13,11.73

