Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
30-04-13,31.27
29-04-13,21.23
28-04-13,10.90
27-04-13,7.57
26-04-13,22.89
25-04-13,36.22
24-04-13,32.82
23-04-13,36.80
22-04-13,40.09
21-04-13,23.34
20-04-13,15.61
19-04-13,16.04
18-04-13,19.07
17-04-13,23.01
16-04-13,21.96
15-04-13,17.18
14-04-13,13.95
13-04-13,13.28
12-04-13,13.74
11-04-13,15.44
10-04-13,21.12
09-04-13,36.30
08-04-13,20.14
07-04-13,16.35
06-04-13,22.63
05-04-13,32.41
04-04-13,31.03
03-04-13,29.27
02-04-13,24.26
01-04-13,16.37

