Datum Zeit,Chemnitz-Leipziger Str. PM10
,µg/m³
30-04-13,34
29-04-13,30
28-04-13,14
27-04-13,9
26-04-13,42
25-04-13,47
24-04-13,41
23-04-13,61
22-04-13,73
21-04-13,40
20-04-13,23
19-04-13,53
18-04-13,41
17-04-13,40
16-04-13,61
15-04-13,40
14-04-13,24
13-04-13,20
12-04-13,16
11-04-13,21
10-04-13,23
09-04-13,60
08-04-13,43
07-04-13,29
06-04-13,31
05-04-13,44
04-04-13,47
03-04-13,36
02-04-13,30
01-04-13,22

