Datum Zeit,Leipzig-West PM2.5
,µg/m³
30-04-13,17.41
29-04-13,11.02
28-04-13,6.03
27-04-13,4.21
26-04-13,16.66
25-04-13,32.79
24-04-13,26.92
23-04-13,24.52
22-04-13,30.40
21-04-13,19.53
20-04-13,8.32
19-04-13,10.79
18-04-13,14.22
17-04-13,13.51
16-04-13,24.30
15-04-13,9.74
14-04-13,8.88
13-04-13,8.95
12-04-13,6.31
11-04-13,8.74
10-04-13,8.39
09-04-13,29.69
08-04-13,21.63
07-04-13,23.84
06-04-13,17.83
05-04-13,24.64
04-04-13,21.83
03-04-13,21.39
02-04-13,18.06
01-04-13,14.46

