Datum Zeit,Annaberg-Buchholz PM2.5
,µg/m³
30-04-13,36.06
29-04-13,11.54
28-04-13,6.39
27-04-13,2.81
26-04-13,13.46
25-04-13,14.94
24-04-13,11.42
23-04-13,21.90
22-04-13,30.74
21-04-13,26.68
20-04-13,14.01
19-04-13,14.14
18-04-13,13.52
17-04-13,13.48
16-04-13,19.80
15-04-13,14.84
14-04-13,8.49
13-04-13,7.09
12-04-13,8.00
11-04-13,8.15
10-04-13,7.99
09-04-13,33.39
08-04-13,25.24
07-04-13,16.73
06-04-13,17.18
05-04-13,30.61
04-04-13,30.22
03-04-13,
02-04-13,22.01
01-04-13,11.78

