Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
30-04-13,23.70
29-04-13,19.36
28-04-13,8.74
27-04-13,7.27
26-04-13,31.27
25-04-13,47.98
24-04-13,36.96
23-04-13,36.57
22-04-13,37.02
21-04-13,22.95
20-04-13,12.60
19-04-13,18.58
18-04-13,20.40
17-04-13,21.80
16-04-13,32.75
15-04-13,19.05
14-04-13,12.06
13-04-13,17.30
12-04-13,11.70
11-04-13,12.60
10-04-13,12.62
09-04-13,
08-04-13,
07-04-13,26.05
06-04-13,21.17
05-04-13,29.64
04-04-13,28.98
03-04-13,27.04
02-04-13,21.59
01-04-13,16.54

