Datum Zeit,Collmberg PM2.5
,µg/m³
31-05-10,2.59
30-05-10,9.09
29-05-10,16.18
28-05-10,13.42
27-05-10,9.04
26-05-10,7.25
25-05-10,8.91
24-05-10,9.55
23-05-10,10.47
22-05-10,13.37
21-05-10,8.87
20-05-10,3.93
19-05-10,2.97
18-05-10,5.65
17-05-10,8.41
16-05-10,7.78
15-05-10,4.16
14-05-10,5.42
13-05-10,11.37
12-05-10,5.28
11-05-10,10.79
10-05-10,16.07
09-05-10,10.63
08-05-10,8.87
07-05-10,4.00
06-05-10,3.73
05-05-10,5.93
04-05-10,4.79
03-05-10,4.68
02-05-10,9.42
01-05-10,16.54

