Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
31-05-10,8.25
30-05-10,9.01
29-05-10,21.25
28-05-10,22.19
27-05-10,16.43
26-05-10,13.81
25-05-10,13.71
24-05-10,13.57
23-05-10,13.89
22-05-10,19.87
21-05-10,19.67
20-05-10,11.88
19-05-10,7.26
18-05-10,10.93
17-05-10,13.73
16-05-10,12.95
15-05-10,9.64
14-05-10,14.07
13-05-10,12.15
12-05-10,11.98
11-05-10,18.16
10-05-10,20.28
09-05-10,21.02
08-05-10,15.90
07-05-10,9.19
06-05-10,6.05
05-05-10,9.69
04-05-10,11.72
03-05-10,10.65
02-05-10,11.26
01-05-10,17.21

