Datum Zeit,Dresden-Nord NO
,µg/m³
01-06-10 00:00,4
31-05-10 23:00,9
31-05-10 22:00,7
31-05-10 21:00,16
31-05-10 20:00,23
31-05-10 19:00,23
31-05-10 18:00,35
31-05-10 17:00,37
31-05-10 16:00,47
31-05-10 15:00,53
31-05-10 14:00,47
31-05-10 13:00,47
31-05-10 12:00,54
31-05-10 11:00,56
31-05-10 10:00,48
31-05-10 09:00,55
31-05-10 08:00,59
31-05-10 07:00,54
31-05-10 06:00,42
31-05-10 05:00,21
31-05-10 04:00,12
31-05-10 03:00,4
31-05-10 02:00,2
31-05-10 01:00,2
31-05-10 00:00,4
30-05-10 23:00,8
30-05-10 22:00,5
30-05-10 21:00,13
30-05-10 20:00,27
30-05-10 19:00,27
30-05-10 18:00,32
30-05-10 17:00,14
30-05-10 16:00,24
30-05-10 15:00,27
30-05-10 14:00,30
30-05-10 13:00,29
30-05-10 12:00,19
30-05-10 11:00,16
30-05-10 10:00,8
30-05-10 09:00,4
30-05-10 08:00,3
30-05-10 07:00,2
30-05-10 06:00,1
30-05-10 05:00,5
30-05-10 04:00,2
30-05-10 03:00,4
30-05-10 02:00,4
30-05-10 01:00,4
30-05-10 00:00,6
29-05-10 23:00,8
29-05-10 22:00,13
29-05-10 21:00,2
29-05-10 20:00,8
29-05-10 19:00,6
29-05-10 18:00,10
29-05-10 17:00,8
29-05-10 16:00,5
29-05-10 15:00,6
29-05-10 14:00,11
29-05-10 13:00,14
29-05-10 12:00,13
29-05-10 11:00,8
29-05-10 10:00,15
29-05-10 09:00,7
29-05-10 08:00,14
29-05-10 07:00,28
29-05-10 06:00,30
29-05-10 05:00,12
29-05-10 04:00,23
29-05-10 03:00,21
29-05-10 02:00,24
29-05-10 01:00,24
29-05-10 00:00,24
28-05-10 23:00,28
28-05-10 22:00,16
28-05-10 21:00,24
28-05-10 20:00,27
28-05-10 19:00,13
28-05-10 18:00,28
28-05-10 17:00,36
28-05-10 16:00,52
28-05-10 15:00,36
28-05-10 14:00,18
28-05-10 13:00,38
28-05-10 12:00,36
28-05-10 11:00,30
28-05-10 10:00,35
28-05-10 09:00,28
28-05-10 08:00,30
28-05-10 07:00,30
28-05-10 06:00,22
28-05-10 05:00,13
28-05-10 04:00,4
28-05-10 03:00,2
28-05-10 02:00,2
28-05-10 01:00,2
28-05-10 00:00,4
27-05-10 23:00,13
27-05-10 22:00,37
27-05-10 21:00,14
27-05-10 20:00,26
27-05-10 19:00,23
27-05-10 18:00,31
27-05-10 17:00,51
27-05-10 16:00,42
27-05-10 15:00,36
27-05-10 14:00,47
27-05-10 13:00,47
27-05-10 12:00,45
27-05-10 11:00,52
27-05-10 10:00,60
27-05-10 09:00,55
27-05-10 08:00,55
27-05-10 07:00,48
27-05-10 06:00,33
27-05-10 05:00,8
27-05-10 04:00,2
27-05-10 03:00,1
27-05-10 02:00,1
27-05-10 01:00,1
27-05-10 00:00,1
26-05-10 23:00,3
26-05-10 22:00,5
26-05-10 21:00,7
26-05-10 20:00,8
26-05-10 19:00,18
26-05-10 18:00,10
26-05-10 17:00,5
26-05-10 16:00,11
26-05-10 15:00,12
26-05-10 14:00,17
26-05-10 13:00,22
26-05-10 12:00,18
26-05-10 11:00,13
26-05-10 10:00,18
26-05-10 09:00,10
26-05-10 08:00,8
26-05-10 07:00,14
26-05-10 06:00,8
26-05-10 05:00,9
26-05-10 04:00,3
26-05-10 03:00,7
26-05-10 02:00,3
26-05-10 01:00,3
26-05-10 00:00,2
25-05-10 23:00,14
25-05-10 22:00,22
25-05-10 21:00,24
25-05-10 20:00,9
25-05-10 19:00,15
25-05-10 18:00,22
25-05-10 17:00,25
25-05-10 16:00,25
25-05-10 15:00,29
25-05-10 14:00,31
25-05-10 13:00,34
25-05-10 12:00,37
25-05-10 11:00,36
25-05-10 10:00,46
25-05-10 09:00,49
25-05-10 08:00,73
25-05-10 07:00,64
25-05-10 06:00,44
25-05-10 05:00,25
25-05-10 04:00,14
25-05-10 03:00,7
25-05-10 02:00,3
25-05-10 01:00,4
25-05-10 00:00,6
24-05-10 23:00,12
24-05-10 22:00,31
24-05-10 21:00,20
24-05-10 20:00,11
24-05-10 19:00,24
24-05-10 18:00,23
24-05-10 17:00,20
24-05-10 16:00,9
24-05-10 15:00,25
24-05-10 14:00,11
24-05-10 13:00,18
24-05-10 12:00,19
24-05-10 11:00,18
24-05-10 10:00,17
24-05-10 09:00,18
24-05-10 08:00,12
24-05-10 07:00,7
24-05-10 06:00,8
24-05-10 05:00,7
24-05-10 04:00,5
24-05-10 03:00,5
24-05-10 02:00,4
24-05-10 01:00,8
24-05-10 00:00,19
23-05-10 23:00,25
23-05-10 22:00,12
23-05-10 21:00,18
23-05-10 20:00,22
23-05-10 19:00,17
23-05-10 18:00,19
23-05-10 17:00,17
23-05-10 16:00,15
23-05-10 15:00,15
23-05-10 14:00,12
23-05-10 13:00,15
23-05-10 12:00,15
23-05-10 11:00,20
23-05-10 10:00,25
23-05-10 09:00,16
23-05-10 08:00,7
23-05-10 07:00,8
23-05-10 06:00,5
23-05-10 05:00,7
23-05-10 04:00,5
23-05-10 03:00,9
23-05-10 02:00,9
23-05-10 01:00,1
23-05-10 00:00,7
22-05-10 23:00,16
22-05-10 22:00,13
22-05-10 21:00,14
22-05-10 20:00,16
22-05-10 19:00,11
22-05-10 18:00,15
22-05-10 17:00,3
22-05-10 16:00,10
22-05-10 15:00,15
22-05-10 14:00,15
22-05-10 13:00,20
22-05-10 12:00,20
22-05-10 11:00,15
22-05-10 10:00,21
22-05-10 09:00,32
22-05-10 08:00,16
22-05-10 07:00,18
22-05-10 06:00,25
22-05-10 05:00,26
22-05-10 04:00,15
22-05-10 03:00,5
22-05-10 02:00,5
22-05-10 01:00,9
22-05-10 00:00,7
21-05-10 23:00,14
21-05-10 22:00,20
21-05-10 21:00,21
21-05-10 20:00,27
21-05-10 19:00,24
21-05-10 18:00,15
21-05-10 17:00,24
21-05-10 16:00,37
21-05-10 15:00,34
21-05-10 14:00,42
21-05-10 13:00,43
21-05-10 12:00,39
21-05-10 11:00,48
21-05-10 10:00,62
21-05-10 09:00,67
21-05-10 08:00,64
21-05-10 07:00,87
21-05-10 06:00,66
21-05-10 05:00,23
21-05-10 04:00,18
21-05-10 03:00,11
21-05-10 02:00,40
21-05-10 01:00,29
21-05-10 00:00,21
20-05-10 23:00,27
20-05-10 22:00,30
20-05-10 21:00,22
20-05-10 20:00,30
20-05-10 19:00,32
20-05-10 18:00,46
20-05-10 17:00,51
20-05-10 16:00,59
20-05-10 15:00,56
20-05-10 14:00,58
20-05-10 13:00,57
20-05-10 12:00,75
20-05-10 11:00,63
20-05-10 10:00,86
20-05-10 09:00,71
20-05-10 08:00,84
20-05-10 07:00,67
20-05-10 06:00,41
