Datum Zeit,Dresden-Nord PM2.5
,µg/m³
31-05-10,7.56
30-05-10,12.59
29-05-10,17.36
28-05-10,17.61
27-05-10,16.52
26-05-10,14.12
25-05-10,12.51
24-05-10,12.16
23-05-10,12.47
22-05-10,20.23
21-05-10,17.50
20-05-10,12.20
19-05-10,5.40
18-05-10,11.75
17-05-10,12.38
16-05-10,12.59
15-05-10,8.40
14-05-10,9.71
13-05-10,14.33
12-05-10,10.60
11-05-10,17.17
10-05-10,18.43
09-05-10,12.05
08-05-10,12.27
07-05-10,8.05
06-05-10,5.71
05-05-10,7.63
04-05-10,8.31
03-05-10,14.55
02-05-10,15.73
01-05-10,20.01

