Datum Zeit,Borna PM10
,µg/m³
31-05-10,10
30-05-10,10
29-05-10,31
28-05-10,24
27-05-10,21
26-05-10,17
25-05-10,16
24-05-10,17
23-05-10,21
22-05-10,26
21-05-10,24
20-05-10,11
19-05-10,10
18-05-10,14
17-05-10,25
16-05-10,17
15-05-10,11
14-05-10,16
13-05-10,19
12-05-10,15
11-05-10,33
10-05-10,27
09-05-10,19
08-05-10,23
07-05-10,15
06-05-10,7
05-05-10,19
04-05-10,13
03-05-10,18
02-05-10,22
01-05-10,29

