Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-05-10,3.04
30-05-10,8.80
29-05-10,15.05
28-05-10,12.54
27-05-10,14.75
26-05-10,12.77
25-05-10,9.58
24-05-10,9.61
23-05-10,10.27
22-05-10,15.75
21-05-10,13.24
20-05-10,9.87
19-05-10,2.72
18-05-10,8.67
17-05-10,
16-05-10,
15-05-10,6.90
14-05-10,8.76
13-05-10,14.22
12-05-10,8.52
11-05-10,18.51
10-05-10,16.91
09-05-10,11.32
08-05-10,10.64
07-05-10,5.04
06-05-10,5.47
05-05-10,8.37
04-05-10,8.70
03-05-10,10.84
02-05-10,14.35
01-05-10,16.57

