Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
31-05-10,9.11
30-05-10,13.02
29-05-10,25.13
28-05-10,19.15
27-05-10,19.10
26-05-10,18.64
25-05-10,13.75
24-05-10,12.38
23-05-10,12.35
22-05-10,19.14
21-05-10,19.18
20-05-10,15.69
19-05-10,6.25
18-05-10,11.85
17-05-10,12.54
16-05-10,13.15
15-05-10,8.89
14-05-10,11.38
13-05-10,16.49
12-05-10,13.93
11-05-10,24.67
10-05-10,21.00
09-05-10,15.03
08-05-10,15.39
07-05-10,10.90
06-05-10,9.83
05-05-10,12.55
04-05-10,14.27
03-05-10,15.67
02-05-10,18.65
01-05-10,19.66

