Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-05-10,3.70
30-05-10,
29-05-10,16.20
28-05-10,15.50
27-05-10,11.40
26-05-10,8.91
25-05-10,7.92
24-05-10,10.85
23-05-10,10.39
22-05-10,15.14
21-05-10,9.92
20-05-10,9.06
19-05-10,6.69
18-05-10,6.27
17-05-10,9.72
16-05-10,9.08
15-05-10,8.93
14-05-10,9.47
13-05-10,8.55
12-05-10,6.32
11-05-10,14.05
10-05-10,13.57
09-05-10,15.26
08-05-10,12.50
07-05-10,4.34
06-05-10,
05-05-10,5.15
04-05-10,7.46
03-05-10,6.77
02-05-10,9.00
01-05-10,16.05

