Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-05-10,7.91
30-05-10,10.04
29-05-10,18.18
28-05-10,18.90
27-05-10,17.97
26-05-10,13.73
25-05-10,14.34
24-05-10,13.63
23-05-10,13.49
22-05-10,18.20
21-05-10,17.88
20-05-10,8.01
19-05-10,5.65
18-05-10,11.92
17-05-10,17.88
16-05-10,11.36
15-05-10,8.61
14-05-10,9.49
13-05-10,14.45
12-05-10,11.94
11-05-10,20.64
10-05-10,20.25
09-05-10,12.41
08-05-10,14.95
07-05-10,11.62
06-05-10,4.56
05-05-10,8.40
04-05-10,8.44
03-05-10,15.98
02-05-10,15.97
01-05-10,21.75

