Datum Zeit,Chemnitz-Mitte PM10
,µg/m³
30-04-15,19
29-04-15,16
28-04-15,12
27-04-15,13
26-04-15,8
25-04-15,17
24-04-15,24
23-04-15,26
22-04-15,20
21-04-15,21
20-04-15,15
19-04-15,11
18-04-15,13
17-04-15,14
16-04-15,23
15-04-15,18
14-04-15,19
13-04-15,10
12-04-15,10
11-04-15,21
10-04-15,28
09-04-15,22
08-04-15,31
07-04-15,16
06-04-15,16
05-04-15,18
04-04-15,13
03-04-15,11
02-04-15,5
01-04-15,5

