Datum Zeit,Leipzig-West PM10
,µg/m³
30-04-15,13
29-04-15,15
28-04-15,11
27-04-15,12
26-04-15,10
25-04-15,20
24-04-15,26
23-04-15,26
22-04-15,14
21-04-15,20
20-04-15,20
19-04-15,15
18-04-15,9
17-04-15,12
16-04-15,19
15-04-15,22
14-04-15,22
13-04-15,10
12-04-15,10
11-04-15,20
10-04-15,31
09-04-15,29
08-04-15,23
07-04-15,18
06-04-15,14
05-04-15,29
04-04-15,14
03-04-15,9
02-04-15,4
01-04-15,5

