Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
30-04-15,15.39
29-04-15,16.08
28-04-15,8.63
27-04-15,11.04
26-04-15,9.16
25-04-15,15.49
24-04-15,20.27
23-04-15,19.77
22-04-15,11.93
21-04-15,9.58
20-04-15,10.24
19-04-15,12.61
18-04-15,8.80
17-04-15,8.31
16-04-15,14.87
15-04-15,12.28
14-04-15,14.60
13-04-15,6.44
12-04-15,6.43
11-04-15,16.43
10-04-15,25.84
09-04-15,17.23
08-04-15,21.85
07-04-15,14.57
06-04-15,10.51
05-04-15,12.45
04-04-15,9.17
03-04-15,6.57
02-04-15,4.95
01-04-15,4.37

