Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
30-04-15,17.16
29-04-15,14.30
28-04-15,9.14
27-04-15,8.53
26-04-15,6.80
25-04-15,13.49
24-04-15,18.40
23-04-15,20.14
22-04-15,12.93
21-04-15,8.59
20-04-15,10.79
19-04-15,10.34
18-04-15,8.98
17-04-15,7.79
16-04-15,14.87
15-04-15,10.81
14-04-15,14.73
13-04-15,6.74
12-04-15,5.53
11-04-15,17.82
10-04-15,21.23
09-04-15,17.76
08-04-15,24.06
07-04-15,13.93
06-04-15,12.10
05-04-15,19.06
04-04-15,10.77
03-04-15,6.59
02-04-15,4.67
01-04-15,4.03

