Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
30-04-15,10.65
29-04-15,10.38
28-04-15,6.67
27-04-15,7.57
26-04-15,6.81
25-04-15,11.83
24-04-15,13.78
23-04-15,16.62
22-04-15,9.49
21-04-15,6.62
20-04-15,7.62
19-04-15,10.26
18-04-15,7.20
17-04-15,5.81
16-04-15,11.88
15-04-15,8.40
14-04-15,11.42
13-04-15,4.35
12-04-15,4.76
11-04-15,13.65
10-04-15,21.03
09-04-15,15.51
08-04-15,20.47
07-04-15,12.10
06-04-15,10.23
05-04-15,12.32
04-04-15,7.91
03-04-15,6.00
02-04-15,3.88
01-04-15,3.10

