Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
30-04-15,11.46
29-04-15,14.76
28-04-15,9.58
27-04-15,9.47
26-04-15,8.87
25-04-15,15.88
24-04-15,20.60
23-04-15,21.83
22-04-15,12.38
21-04-15,9.54
20-04-15,11.66
19-04-15,13.52
18-04-15,9.15
17-04-15,7.91
16-04-15,14.04
15-04-15,16.60
14-04-15,19.34
13-04-15,8.32
12-04-15,6.43
11-04-15,17.21
10-04-15,24.61
09-04-15,23.36
08-04-15,19.75
07-04-15,18.98
06-04-15,14.34
05-04-15,28.65
04-04-15,13.73
03-04-15,8.45
02-04-15,4.72
01-04-15,4.08

