Datum Zeit,Schwartenberg PM10
,µg/m³
31-07-15,11
30-07-15,8
29-07-15,7
28-07-15,7
27-07-15,7
26-07-15,9
25-07-15,11
24-07-15,17
23-07-15,7
22-07-15,13
21-07-15,9
20-07-15,8
19-07-15,15
18-07-15,18
17-07-15,17
16-07-15,10
15-07-15,9
14-07-15,5
13-07-15,6
12-07-15,14
11-07-15,14
10-07-15,9
09-07-15,8
08-07-15,10
07-07-15,22
06-07-15,12
05-07-15,25
04-07-15,25
03-07-15,27
02-07-15,22
01-07-15,16

