Datum Zeit,Dresden-Bergstraße NO2
,µg/m³
01-08-15 00:00,82
31-07-15 23:00,96
31-07-15 22:00,94
31-07-15 21:00,95
31-07-15 20:00,91
31-07-15 19:00,58
31-07-15 18:00,72
31-07-15 17:00,71
31-07-15 16:00,69
31-07-15 15:00,69
31-07-15 14:00,62
31-07-15 13:00,46
31-07-15 12:00,46
31-07-15 11:00,47
31-07-15 10:00,40
31-07-15 09:00,46
31-07-15 08:00,48
31-07-15 07:00,68
31-07-15 06:00,54
31-07-15 05:00,32
31-07-15 04:00,19
31-07-15 03:00,13
31-07-15 02:00,16
31-07-15 01:00,17
31-07-15 00:00,22
30-07-15 23:00,27
30-07-15 22:00,54
30-07-15 21:00,61
30-07-15 20:00,73
30-07-15 19:00,39
30-07-15 18:00,51
30-07-15 17:00,57
30-07-15 16:00,68
30-07-15 15:00,64
30-07-15 14:00,42
30-07-15 13:00,47
30-07-15 12:00,37
30-07-15 11:00,44
30-07-15 10:00,34
30-07-15 09:00,40
30-07-15 08:00,44
30-07-15 07:00,46
30-07-15 06:00,40
30-07-15 05:00,27
30-07-15 04:00,17
30-07-15 03:00,8
30-07-15 02:00,10
30-07-15 01:00,8
30-07-15 00:00,12
29-07-15 23:00,17
29-07-15 22:00,25
29-07-15 21:00,35
29-07-15 20:00,46
29-07-15 19:00,34
29-07-15 18:00,54
29-07-15 17:00,67
29-07-15 16:00,83
29-07-15 15:00,64
29-07-15 14:00,57
29-07-15 13:00,51
29-07-15 12:00,54
29-07-15 11:00,50
29-07-15 10:00,52
29-07-15 09:00,54
29-07-15 08:00,60
29-07-15 07:00,54
29-07-15 06:00,45
29-07-15 05:00,30
29-07-15 04:00,13
29-07-15 03:00,7
29-07-15 02:00,10
29-07-15 01:00,10
29-07-15 00:00,23
28-07-15 23:00,28
28-07-15 22:00,45
28-07-15 21:00,52
28-07-15 20:00,59
28-07-15 19:00,65
28-07-15 18:00,68
28-07-15 17:00,68
28-07-15 16:00,61
28-07-15 15:00,60
28-07-15 14:00,57
28-07-15 13:00,44
28-07-15 12:00,54
28-07-15 11:00,43
28-07-15 10:00,47
28-07-15 09:00,54
28-07-15 08:00,57
28-07-15 07:00,62
28-07-15 06:00,48
28-07-15 05:00,21
28-07-15 04:00,9
28-07-15 03:00,7
28-07-15 02:00,7
28-07-15 01:00,6
28-07-15 00:00,9
27-07-15 23:00,13
27-07-15 22:00,20
27-07-15 21:00,38
27-07-15 20:00,49
27-07-15 19:00,49
27-07-15 18:00,54
27-07-15 17:00,61
27-07-15 16:00,76
27-07-15 15:00,58
27-07-15 14:00,66
27-07-15 13:00,46
27-07-15 12:00,51
27-07-15 11:00,53
27-07-15 10:00,57
27-07-15 09:00,60
27-07-15 08:00,72
27-07-15 07:00,92
27-07-15 06:00,66
27-07-15 05:00,33
27-07-15 04:00,26
27-07-15 03:00,21
27-07-15 02:00,20
27-07-15 01:00,13
27-07-15 00:00,21
26-07-15 23:00,39
26-07-15 22:00,72
26-07-15 21:00,68
26-07-15 20:00,58
26-07-15 19:00,56
26-07-15 18:00,41
26-07-15 17:00,45
26-07-15 16:00,34
26-07-15 15:00,28
26-07-15 14:00,28
26-07-15 13:00,25
26-07-15 12:00,26
26-07-15 11:00,22
26-07-15 10:00,24
26-07-15 09:00,24
26-07-15 08:00,16
26-07-15 07:00,10
26-07-15 06:00,9
26-07-15 05:00,6
26-07-15 04:00,6
26-07-15 03:00,6
26-07-15 02:00,7
26-07-15 01:00,12
26-07-15 00:00,14
25-07-15 23:00,21
25-07-15 22:00,26
25-07-15 21:00,33
25-07-15 20:00,45
25-07-15 19:00,44
25-07-15 18:00,46
25-07-15 17:00,48
25-07-15 16:00,75
25-07-15 15:00,52
25-07-15 14:00,46
25-07-15 13:00,44
25-07-15 12:00,46
25-07-15 11:00,52
25-07-15 10:00,60
25-07-15 09:00,42
25-07-15 08:00,51
25-07-15 07:00,28
25-07-15 06:00,14
25-07-15 05:00,19
25-07-15 04:00,11
25-07-15 03:00,14
25-07-15 02:00,21
25-07-15 01:00,26
25-07-15 00:00,46
24-07-15 23:00,43
24-07-15 22:00,16
24-07-15 21:00,27
24-07-15 20:00,20
24-07-15 19:00,35
24-07-15 18:00,53
24-07-15 17:00,56
24-07-15 16:00,67
24-07-15 15:00,65
24-07-15 14:00,63
24-07-15 13:00,78
24-07-15 12:00,70
24-07-15 11:00,59
24-07-15 10:00,54
24-07-15 09:00,59
24-07-15 08:00,67
24-07-15 07:00,62
24-07-15 06:00,60
24-07-15 05:00,41
24-07-15 04:00,29
24-07-15 03:00,24
24-07-15 02:00,24
24-07-15 01:00,28
24-07-15 00:00,34
23-07-15 23:00,44
23-07-15 22:00,50
23-07-15 21:00,58
23-07-15 20:00,71
23-07-15 19:00,44
23-07-15 18:00,62
23-07-15 17:00,74
23-07-15 16:00,80
23-07-15 15:00,84
23-07-15 14:00,74
23-07-15 13:00,54
23-07-15 12:00,51
23-07-15 11:00,60
23-07-15 10:00,62
23-07-15 09:00,52
23-07-15 08:00,47
23-07-15 07:00,40
23-07-15 06:00,30
23-07-15 05:00,16
23-07-15 04:00,11
23-07-15 03:00,14
23-07-15 02:00,14
23-07-15 01:00,12
23-07-15 00:00,26
22-07-15 23:00,26
22-07-15 22:00,22
22-07-15 21:00,51
22-07-15 20:00,70
22-07-15 19:00,88
22-07-15 18:00,110
22-07-15 17:00,133
22-07-15 16:00,138
22-07-15 15:00,110
22-07-15 14:00,103
22-07-15 13:00,99
22-07-15 12:00,78
22-07-15 11:00,87
22-07-15 10:00,78
22-07-15 09:00,78
22-07-15 08:00,95
22-07-15 07:00,73
22-07-15 06:00,51
22-07-15 05:00,38
22-07-15 04:00,30
22-07-15 03:00,29
22-07-15 02:00,33
22-07-15 01:00,25
22-07-15 00:00,40
21-07-15 23:00,37
21-07-15 22:00,47
21-07-15 21:00,63
21-07-15 20:00,33
21-07-15 19:00,34
21-07-15 18:00,47
21-07-15 17:00,58
21-07-15 16:00,59
21-07-15 15:00,55
21-07-15 14:00,50
21-07-15 13:00,42
21-07-15 12:00,37
21-07-15 11:00,37
21-07-15 10:00,40
21-07-15 09:00,50
21-07-15 08:00,80
21-07-15 07:00,80
21-07-15 06:00,59
21-07-15 05:00,29
21-07-15 04:00,16
21-07-15 03:00,12
21-07-15 02:00,16
21-07-15 01:00,15
21-07-15 00:00,26
20-07-15 23:00,32
20-07-15 22:00,38
20-07-15 21:00,52
20-07-15 20:00,59
20-07-15 19:00,50
20-07-15 18:00,58
20-07-15 17:00,67
20-07-15 16:00,69
20-07-15 15:00,68
20-07-15 14:00,59
20-07-15 13:00,46
20-07-15 12:00,34
