Datum Zeit,Dresden-Nord PM2.5
,µg/m³
31-07-15,9.97
30-07-15,7.06
29-07-15,6.00
28-07-15,5.77
27-07-15,6.19
26-07-15,4.37
25-07-15,7.27
24-07-15,12.80
23-07-15,10.43
22-07-15,9.78
21-07-15,8.25
20-07-15,7.65
19-07-15,10.50
18-07-15,14.50
17-07-15,14.21
16-07-15,12.25
15-07-15,8.57
14-07-15,6.12
13-07-15,7.11
12-07-15,11.03
11-07-15,10.19
10-07-15,6.77
09-07-15,5.36
08-07-15,6.43
07-07-15,13.62
06-07-15,11.86
05-07-15,19.59
04-07-15,20.00
03-07-15,18.76
02-07-15,13.39
01-07-15,9.97

