Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
31-07-15,8.02
30-07-15,7.03
29-07-15,6.66
28-07-15,5.14
27-07-15,6.30
26-07-15,5.50
25-07-15,8.51
24-07-15,11.94
23-07-15,12.25
22-07-15,13.09
21-07-15,8.70
20-07-15,10.33
19-07-15,11.88
18-07-15,16.88
17-07-15,15.93
16-07-15,11.96
15-07-15,9.40
14-07-15,7.20
13-07-15,7.98
12-07-15,12.29
11-07-15,10.51
10-07-15,8.18
09-07-15,6.00
08-07-15,7.31
07-07-15,12.62
06-07-15,10.40
05-07-15,17.69
04-07-15,23.22
03-07-15,22.77
02-07-15,13.79
01-07-15,10.28

