Datum Zeit,Collmberg PM2.5
,µg/m³
31-07-15,5.47
30-07-15,4.50
29-07-15,4.07
28-07-15,3.43
27-07-15,3.71
26-07-15,4.34
25-07-15,5.79
24-07-15,10.23
23-07-15,9.84
22-07-15,7.23
21-07-15,5.70
20-07-15,5.75
19-07-15,8.58
18-07-15,11.95
17-07-15,10.60
16-07-15,8.26
15-07-15,6.04
14-07-15,4.05
13-07-15,5.04
12-07-15,7.82
11-07-15,6.87
10-07-15,4.25
09-07-15,3.33
08-07-15,
07-07-15,
06-07-15,6.23
05-07-15,15.08
04-07-15,18.43
03-07-15,16.47
02-07-15,11.18
01-07-15,8.28

