Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-07-15,5.45
30-07-15,5.02
29-07-15,4.25
28-07-15,3.55
27-07-15,3.89
26-07-15,3.84
25-07-15,5.55
24-07-15,10.31
23-07-15,8.05
22-07-15,9.52
21-07-15,5.75
20-07-15,6.13
19-07-15,9.04
18-07-15,13.23
17-07-15,12.49
16-07-15,9.04
15-07-15,6.98
14-07-15,4.64
13-07-15,5.62
12-07-15,11.37
11-07-15,8.30
10-07-15,4.57
09-07-15,3.79
08-07-15,5.11
07-07-15,10.07
06-07-15,7.97
05-07-15,14.61
04-07-15,21.27
03-07-15,19.39
02-07-15,11.87
01-07-15,8.65

