Datum Zeit,Niesky O3
,µg/m³
01-08-15 00:00,27
31-07-15 23:00,34
31-07-15 22:00,43
31-07-15 21:00,51
31-07-15 20:00,74
31-07-15 19:00,91
31-07-15 18:00,92
31-07-15 17:00,92
31-07-15 16:00,89
31-07-15 15:00,86
31-07-15 14:00,85
31-07-15 13:00,82
31-07-15 12:00,80
31-07-15 11:00,77
31-07-15 10:00,75
31-07-15 09:00,72
31-07-15 08:00,58
31-07-15 07:00,47
31-07-15 06:00,49
31-07-15 05:00,49
31-07-15 04:00,46
31-07-15 03:00,51
31-07-15 02:00,53
31-07-15 01:00,59
31-07-15 00:00,61
30-07-15 23:00,69
30-07-15 22:00,71
30-07-15 21:00,74
30-07-15 20:00,80
30-07-15 19:00,92
30-07-15 18:00,95
30-07-15 17:00,95
30-07-15 16:00,94
30-07-15 15:00,90
30-07-15 14:00,82
30-07-15 13:00,78
30-07-15 12:00,73
30-07-15 11:00,71
30-07-15 10:00,71
30-07-15 09:00,69
30-07-15 08:00,65
30-07-15 07:00,61
30-07-15 06:00,62
30-07-15 05:00,64
30-07-15 04:00,66
30-07-15 03:00,71
30-07-15 02:00,72
30-07-15 01:00,67
30-07-15 00:00,67
29-07-15 23:00,70
29-07-15 22:00,80
29-07-15 21:00,90
29-07-15 20:00,98
29-07-15 19:00,85
29-07-15 18:00,91
29-07-15 17:00,90
29-07-15 16:00,94
29-07-15 15:00,100
29-07-15 14:00,93
29-07-15 13:00,93
29-07-15 12:00,87
29-07-15 11:00,80
29-07-15 10:00,73
29-07-15 09:00,74
29-07-15 08:00,72
29-07-15 07:00,71
29-07-15 06:00,73
29-07-15 05:00,76
29-07-15 04:00,78
29-07-15 03:00,80
29-07-15 02:00,75
29-07-15 01:00,82
29-07-15 00:00,85
28-07-15 23:00,82
28-07-15 22:00,70
28-07-15 21:00,66
28-07-15 20:00,73
28-07-15 19:00,88
28-07-15 18:00,98
28-07-15 17:00,103
28-07-15 16:00,103
28-07-15 15:00,
28-07-15 14:00,
28-07-15 13:00,
28-07-15 12:00,72
28-07-15 11:00,68
28-07-15 10:00,63
28-07-15 09:00,63
28-07-15 08:00,56
28-07-15 07:00,53
28-07-15 06:00,54
28-07-15 05:00,60
28-07-15 04:00,56
28-07-15 03:00,53
28-07-15 02:00,45
28-07-15 01:00,41
28-07-15 00:00,39
27-07-15 23:00,41
27-07-15 22:00,43
27-07-15 21:00,48
27-07-15 20:00,51
27-07-15 19:00,50
27-07-15 18:00,60
27-07-15 17:00,70
27-07-15 16:00,75
27-07-15 15:00,79
27-07-15 14:00,84
27-07-15 13:00,92
27-07-15 12:00,94
27-07-15 11:00,97
27-07-15 10:00,94
27-07-15 09:00,80
27-07-15 08:00,73
27-07-15 07:00,58
27-07-15 06:00,50
27-07-15 05:00,48
27-07-15 04:00,57
27-07-15 03:00,58
27-07-15 02:00,63
27-07-15 01:00,67
27-07-15 00:00,71
26-07-15 23:00,75
26-07-15 22:00,52
26-07-15 21:00,51
26-07-15 20:00,72
26-07-15 19:00,88
26-07-15 18:00,89
26-07-15 17:00,87
26-07-15 16:00,86
26-07-15 15:00,83
26-07-15 14:00,79
26-07-15 13:00,76
26-07-15 12:00,71
26-07-15 11:00,68
26-07-15 10:00,67
26-07-15 09:00,66
26-07-15 08:00,67
26-07-15 07:00,68
26-07-15 06:00,69
26-07-15 05:00,76
26-07-15 04:00,78
26-07-15 03:00,78
26-07-15 02:00,78
26-07-15 01:00,79
26-07-15 00:00,82
25-07-15 23:00,86
25-07-15 22:00,85
25-07-15 21:00,91
25-07-15 20:00,96
25-07-15 19:00,99
25-07-15 18:00,102
25-07-15 17:00,90
25-07-15 16:00,85
25-07-15 15:00,103
25-07-15 14:00,106
25-07-15 13:00,97
25-07-15 12:00,89
25-07-15 11:00,80
25-07-15 10:00,79
25-07-15 09:00,84
25-07-15 08:00,81
25-07-15 07:00,97
25-07-15 06:00,84
25-07-15 05:00,76
25-07-15 04:00,71
25-07-15 03:00,78
25-07-15 02:00,86
25-07-15 01:00,87
25-07-15 00:00,91
24-07-15 23:00,103
24-07-15 22:00,110
24-07-15 21:00,119
24-07-15 20:00,129
24-07-15 19:00,126
24-07-15 18:00,122
24-07-15 17:00,123
24-07-15 16:00,119
24-07-15 15:00,120
24-07-15 14:00,120
24-07-15 13:00,121
24-07-15 12:00,112
24-07-15 11:00,98
24-07-15 10:00,88
24-07-15 09:00,67
24-07-15 08:00,48
24-07-15 07:00,41
24-07-15 06:00,25
24-07-15 05:00,23
24-07-15 04:00,22
24-07-15 03:00,16
24-07-15 02:00,22
24-07-15 01:00,26
