Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
30-06-11,5.82
29-06-11,7.37
28-06-11,8.68
27-06-11,9.65
26-06-11,4.92
25-06-11,5.22
24-06-11,4.11
23-06-11,4.14
22-06-11,6.76
21-06-11,4.69
20-06-11,4.57
19-06-11,3.48
18-06-11,4.88
17-06-11,5.29
16-06-11,8.16
15-06-11,8.67
14-06-11,5.98
13-06-11,8.96
12-06-11,7.67
11-06-11,9.70
10-06-11,8.63
09-06-11,8.90
08-06-11,11.44
07-06-11,8.66
06-06-11,12.09
05-06-11,14.65
04-06-11,17.44
03-06-11,10.10
02-06-11,5.45
01-06-11,6.16

