Datum Zeit,Dresden-Nord PM2.5
,µg/m³
30-06-11,8.84
29-06-11,11.62
28-06-11,10.31
27-06-11,10.82
26-06-11,7.73
25-06-11,7.63
24-06-11,7.14
23-06-11,7.14
22-06-11,8.80
21-06-11,7.15
20-06-11,6.55
19-06-11,4.69
18-06-11,7.10
17-06-11,6.91
16-06-11,10.07
15-06-11,10.80
14-06-11,9.73
13-06-11,8.99
12-06-11,8.18
11-06-11,11.58
10-06-11,11.28
09-06-11,11.42
08-06-11,14.80
07-06-11,10.73
06-06-11,14.28
05-06-11,15.55
04-06-11,17.59
03-06-11,10.33
02-06-11,5.95
01-06-11,8.20

