Datum Zeit,Plauen-Sued PM10
,µg/m³
30-06-11,9
29-06-11,17
28-06-11,17
27-06-11,13
26-06-11,7
25-06-11,11
24-06-11,11
23-06-11,11
22-06-11,11
21-06-11,10
20-06-11,11
19-06-11,6
18-06-11,8
17-06-11,12
16-06-11,15
15-06-11,15
14-06-11,14
13-06-11,11
12-06-11,12
11-06-11,15
10-06-11,19
09-06-11,17
08-06-11,15
07-06-11,13
06-06-11,16
05-06-11,16
04-06-11,25
03-06-11,20
02-06-11,12
01-06-11,13

