Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
30-06-11,9.78
29-06-11,11.74
28-06-11,12.28
27-06-11,14.23
26-06-11,8.81
25-06-11,8.30
24-06-11,8.56
23-06-11,9.36
22-06-11,11.24
21-06-11,10.56
20-06-11,7.42
19-06-11,5.02
18-06-11,7.23
17-06-11,9.49
16-06-11,15.28
15-06-11,13.91
14-06-11,10.58
13-06-11,10.76
12-06-11,9.46
11-06-11,12.29
10-06-11,13.22
09-06-11,13.64
08-06-11,20.05
07-06-11,12.96
06-06-11,15.70
05-06-11,15.61
04-06-11,18.85
03-06-11,13.47
02-06-11,7.18
01-06-11,

