Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
30-06-11,7.12
29-06-11,10.20
28-06-11,11.87
27-06-11,9.25
26-06-11,7.43
25-06-11,7.49
24-06-11,7.12
23-06-11,6.60
22-06-11,12.23
21-06-11,7.33
20-06-11,7.16
19-06-11,5.78
18-06-11,5.75
17-06-11,7.68
16-06-11,13.96
15-06-11,13.76
14-06-11,9.60
13-06-11,9.54
12-06-11,8.86
11-06-11,12.38
10-06-11,14.17
09-06-11,15.26
08-06-11,14.74
07-06-11,10.19
06-06-11,11.61
05-06-11,14.58
04-06-11,13.51
03-06-11,8.56
02-06-11,5.41
01-06-11,8.63

