Datum Zeit,Zwickau-Werdauer Straße WINDRI
,GRAD
01-10-18 00:00,
30-09-18 23:00,
30-09-18 22:00,
30-09-18 21:00,
30-09-18 20:00,
30-09-18 19:00,
30-09-18 18:00,
30-09-18 17:00,
30-09-18 16:00,
30-09-18 15:00,
30-09-18 14:00,
30-09-18 13:00,
30-09-18 12:00,
30-09-18 11:00,
30-09-18 10:00,
30-09-18 09:00,
30-09-18 08:00,
30-09-18 07:00,
30-09-18 06:00,
30-09-18 05:00,
30-09-18 04:00,144
30-09-18 03:00,163
30-09-18 02:00,186
30-09-18 01:00,195
30-09-18 00:00,205
29-09-18 23:00,201
29-09-18 22:00,201
29-09-18 21:00,186
29-09-18 20:00,343
29-09-18 19:00,331
29-09-18 18:00,345
29-09-18 17:00,346
29-09-18 16:00,346
29-09-18 15:00,95
29-09-18 14:00,342
29-09-18 13:00,35
29-09-18 12:00,87
29-09-18 11:00,11
29-09-18 10:00,111
29-09-18 09:00,118
29-09-18 08:00,180
29-09-18 07:00,199
29-09-18 06:00,194
29-09-18 05:00,203
29-09-18 04:00,202
29-09-18 03:00,191
29-09-18 02:00,195
29-09-18 01:00,177
29-09-18 00:00,179
28-09-18 23:00,160
28-09-18 22:00,151
28-09-18 21:00,325
28-09-18 20:00,358
28-09-18 19:00,305
28-09-18 18:00,338
28-09-18 17:00,338
28-09-18 16:00,350
28-09-18 15:00,334
28-09-18 14:00,14
28-09-18 13:00,343
28-09-18 12:00,342
28-09-18 11:00,342
28-09-18 10:00,340
28-09-18 09:00,68
28-09-18 08:00,111
28-09-18 07:00,121
28-09-18 06:00,111
28-09-18 05:00,125
28-09-18 04:00,125
28-09-18 03:00,141
28-09-18 02:00,144
28-09-18 01:00,154
28-09-18 00:00,144
27-09-18 23:00,127
27-09-18 22:00,148
27-09-18 21:00,195
27-09-18 20:00,191
27-09-18 19:00,174
27-09-18 18:00,205
27-09-18 17:00,217
27-09-18 16:00,214
27-09-18 15:00,213
27-09-18 14:00,206
27-09-18 13:00,212
27-09-18 12:00,206
27-09-18 11:00,213
27-09-18 10:00,179
27-09-18 09:00,203
27-09-18 08:00,195
27-09-18 07:00,203
27-09-18 06:00,194
27-09-18 05:00,201
27-09-18 04:00,203
27-09-18 03:00,186
27-09-18 02:00,188
27-09-18 01:00,172
27-09-18 00:00,162
26-09-18 23:00,151
26-09-18 22:00,146
26-09-18 21:00,170
26-09-18 20:00,177
26-09-18 19:00,187
26-09-18 18:00,197
26-09-18 17:00,206
26-09-18 16:00,211
26-09-18 15:00,207
26-09-18 14:00,210
26-09-18 13:00,204
26-09-18 12:00,211
26-09-18 11:00,210
26-09-18 10:00,138
26-09-18 09:00,185
26-09-18 08:00,206
26-09-18 07:00,202
26-09-18 06:00,203
26-09-18 05:00,203
26-09-18 04:00,202
26-09-18 03:00,204
26-09-18 02:00,198
26-09-18 01:00,202
26-09-18 00:00,196
25-09-18 23:00,199
25-09-18 22:00,193
25-09-18 21:00,188
25-09-18 20:00,183
25-09-18 19:00,142
25-09-18 18:00,331
25-09-18 17:00,338
25-09-18 16:00,329
25-09-18 15:00,336
25-09-18 14:00,344
25-09-18 13:00,293
25-09-18 12:00,341
25-09-18 11:00,335
25-09-18 10:00,329
25-09-18 09:00,347
25-09-18 08:00,202
25-09-18 07:00,180
25-09-18 06:00,186
25-09-18 05:00,209
25-09-18 04:00,217
25-09-18 03:00,218
25-09-18 02:00,221
25-09-18 01:00,222
25-09-18 00:00,217
24-09-18 23:00,227
24-09-18 22:00,238
24-09-18 21:00,228
24-09-18 20:00,221
24-09-18 19:00,221
24-09-18 18:00,334
24-09-18 17:00,325
24-09-18 16:00,336
24-09-18 15:00,335
24-09-18 14:00,326
24-09-18 13:00,340
24-09-18 12:00,339
24-09-18 11:00,342
24-09-18 10:00,310
24-09-18 09:00,243
24-09-18 08:00,236
24-09-18 07:00,322
24-09-18 06:00,266
24-09-18 05:00,251
24-09-18 04:00,230
24-09-18 03:00,223
24-09-18 02:00,229
24-09-18 01:00,227
24-09-18 00:00,335
23-09-18 23:00,336
23-09-18 22:00,339
23-09-18 21:00,336
23-09-18 20:00,331
23-09-18 19:00,337
23-09-18 18:00,262
23-09-18 17:00,209
23-09-18 16:00,197
23-09-18 15:00,181
23-09-18 14:00,104
23-09-18 13:00,107
23-09-18 12:00,93
23-09-18 11:00,99
23-09-18 10:00,177
23-09-18 09:00,201
23-09-18 08:00,186
23-09-18 07:00,201
23-09-18 06:00,198
23-09-18 05:00,209
23-09-18 04:00,199
23-09-18 03:00,207
23-09-18 02:00,198
23-09-18 01:00,211
23-09-18 00:00,261
22-09-18 23:00,203
22-09-18 22:00,209
22-09-18 21:00,217
22-09-18 20:00,215
22-09-18 19:00,216
22-09-18 18:00,216
22-09-18 17:00,211
22-09-18 16:00,216
22-09-18 15:00,213
22-09-18 14:00,216
22-09-18 13:00,220
22-09-18 12:00,214
22-09-18 11:00,216
22-09-18 10:00,214
22-09-18 09:00,215
22-09-18 08:00,207
22-09-18 07:00,208
22-09-18 06:00,201
22-09-18 05:00,211
22-09-18 04:00,209
22-09-18 03:00,199
22-09-18 02:00,201
22-09-18 01:00,197
22-09-18 00:00,209
21-09-18 23:00,218
21-09-18 22:00,221
21-09-18 21:00,223
21-09-18 20:00,216
21-09-18 19:00,335
21-09-18 18:00,305
21-09-18 17:00,216
21-09-18 16:00,218
21-09-18 15:00,203
21-09-18 14:00,207
21-09-18 13:00,201
21-09-18 12:00,200
21-09-18 11:00,203
21-09-18 10:00,202
21-09-18 09:00,196
21-09-18 08:00,165
21-09-18 07:00,209
21-09-18 06:00,153
21-09-18 05:00,195
21-09-18 04:00,96
21-09-18 03:00,95
21-09-18 02:00,239
21-09-18 01:00,270
21-09-18 00:00,97
20-09-18 23:00,102
20-09-18 22:00,101
20-09-18 21:00,172
20-09-18 20:00,188
20-09-18 19:00,190
20-09-18 18:00,203
20-09-18 17:00,205
20-09-18 16:00,201
20-09-18 15:00,204
20-09-18 14:00,201
20-09-18 13:00,214
20-09-18 12:00,210
20-09-18 11:00,206
20-09-18 10:00,221
20-09-18 09:00,178
20-09-18 08:00,195
20-09-18 07:00,192
20-09-18 06:00,179
20-09-18 05:00,164
20-09-18 04:00,196
20-09-18 03:00,193
20-09-18 02:00,166
20-09-18 01:00,202
20-09-18 00:00,162
19-09-18 23:00,197
19-09-18 22:00,124
19-09-18 21:00,96
19-09-18 20:00,121
19-09-18 19:00,177
19-09-18 18:00,199
19-09-18 17:00,205
19-09-18 16:00,202
19-09-18 15:00,203
19-09-18 14:00,194
19-09-18 13:00,191
19-09-18 12:00,134
19-09-18 11:00,184
19-09-18 10:00,141
19-09-18 09:00,174
19-09-18 08:00,183
19-09-18 07:00,203
19-09-18 06:00,200
19-09-18 05:00,169
19-09-18 04:00,162
19-09-18 03:00,191
19-09-18 02:00,198
19-09-18 01:00,196
19-09-18 00:00,191
18-09-18 23:00,189
18-09-18 22:00,192
18-09-18 21:00,198
18-09-18 20:00,200
18-09-18 19:00,156
18-09-18 18:00,200
18-09-18 17:00,207
18-09-18 16:00,212
18-09-18 15:00,206
18-09-18 14:00,202
18-09-18 13:00,200
18-09-18 12:00,205
18-09-18 11:00,200
18-09-18 10:00,196
18-09-18 09:00,200
18-09-18 08:00,201
18-09-18 07:00,200
18-09-18 06:00,199
18-09-18 05:00,202
18-09-18 04:00,199
18-09-18 03:00,204
18-09-18 02:00,201
18-09-18 01:00,200
18-09-18 00:00,196
17-09-18 23:00,198
17-09-18 22:00,199
17-09-18 21:00,188
17-09-18 20:00,150
17-09-18 19:00,160
17-09-18 18:00,167
17-09-18 17:00,175
17-09-18 16:00,186
17-09-18 15:00,179
17-09-18 14:00,207
17-09-18 13:00,210
17-09-18 12:00,195
17-09-18 11:00,215
17-09-18 10:00,80
17-09-18 09:00,195
17-09-18 08:00,204
17-09-18 07:00,204
17-09-18 06:00,201
17-09-18 05:00,203
17-09-18 04:00,201
17-09-18 03:00,201
17-09-18 02:00,200
17-09-18 01:00,198
17-09-18 00:00,198
16-09-18 23:00,199
16-09-18 22:00,195
16-09-18 21:00,196
16-09-18 20:00,165
16-09-18 19:00,146
16-09-18 18:00,220
16-09-18 17:00,233
16-09-18 16:00,73
16-09-18 15:00,189
16-09-18 14:00,329
16-09-18 13:00,203
16-09-18 12:00,102
16-09-18 11:00,232
16-09-18 10:00,176
16-09-18 09:00,122
16-09-18 08:00,179
16-09-18 07:00,200
16-09-18 06:00,201
16-09-18 05:00,203
16-09-18 04:00,200
16-09-18 03:00,203
16-09-18 02:00,199
16-09-18 01:00,200
16-09-18 00:00,201
15-09-18 23:00,202
15-09-18 22:00,195
15-09-18 21:00,158
15-09-18 20:00,112
15-09-18 19:00,345
15-09-18 18:00,293
15-09-18 17:00,337
15-09-18 16:00,340
15-09-18 15:00,345
15-09-18 14:00,313
15-09-18 13:00,249
15-09-18 12:00,313
15-09-18 11:00,277
15-09-18 10:00,313
15-09-18 09:00,319
15-09-18 08:00,212
15-09-18 07:00,208
15-09-18 06:00,181
15-09-18 05:00,203
15-09-18 04:00,219
15-09-18 03:00,207
15-09-18 02:00,181
15-09-18 01:00,187
15-09-18 00:00,201
14-09-18 23:00,199
14-09-18 22:00,203
14-09-18 21:00,182
14-09-18 20:00,117
14-09-18 19:00,107
14-09-18 18:00,100
14-09-18 17:00,37
14-09-18 16:00,77
14-09-18 15:00,341
14-09-18 14:00,86
14-09-18 13:00,168
14-09-18 12:00,100
14-09-18 11:00,339
14-09-18 10:00,86
14-09-18 09:00,41
14-09-18 08:00,8
14-09-18 07:00,99
14-09-18 06:00,351
14-09-18 05:00,355
14-09-18 04:00,354
14-09-18 03:00,90
14-09-18 02:00,80
14-09-18 01:00,113
14-09-18 00:00,120
13-09-18 23:00,56
13-09-18 22:00,113
13-09-18 21:00,110
13-09-18 20:00,330
13-09-18 19:00,358
13-09-18 18:00,139
13-09-18 17:00,333
13-09-18 16:00,336
13-09-18 15:00,341
13-09-18 14:00,358
13-09-18 13:00,360
13-09-18 12:00,331
13-09-18 11:00,344
13-09-18 10:00,344
13-09-18 09:00,56
13-09-18 08:00,16
13-09-18 07:00,353
13-09-18 06:00,0
13-09-18 05:00,92
13-09-18 04:00,105
13-09-18 03:00,72
13-09-18 02:00,344
13-09-18 01:00,347
13-09-18 00:00,332
12-09-18 23:00,327
12-09-18 22:00,352
12-09-18 21:00,338
12-09-18 20:00,360
12-09-18 19:00,211
12-09-18 18:00,217
12-09-18 17:00,217
12-09-18 16:00,206
12-09-18 15:00,203
12-09-18 14:00,216
