Datum Zeit,Plauen-Sued WINDRI
,GRAD
01-10-18 00:00,
30-09-18 23:00,
30-09-18 22:00,290
30-09-18 21:00,300
30-09-18 20:00,196
30-09-18 19:00,196
30-09-18 18:00,177
30-09-18 17:00,166
30-09-18 16:00,177
30-09-18 15:00,159
30-09-18 14:00,173
30-09-18 13:00,215
30-09-18 12:00,166
30-09-18 11:00,194
30-09-18 10:00,235
30-09-18 09:00,280
30-09-18 08:00,321
30-09-18 07:00,298
30-09-18 06:00,274
30-09-18 05:00,273
30-09-18 04:00,233
30-09-18 03:00,288
30-09-18 02:00,197
30-09-18 01:00,143
30-09-18 00:00,148
29-09-18 23:00,191
29-09-18 22:00,179
29-09-18 21:00,193
29-09-18 20:00,186
29-09-18 19:00,168
29-09-18 18:00,2
29-09-18 17:00,344
29-09-18 16:00,344
29-09-18 15:00,345
29-09-18 14:00,348
29-09-18 13:00,346
29-09-18 12:00,342
29-09-18 11:00,347
29-09-18 10:00,359
29-09-18 09:00,224
29-09-18 08:00,11
29-09-18 07:00,175
29-09-18 06:00,192
29-09-18 05:00,177
29-09-18 04:00,199
29-09-18 03:00,185
29-09-18 02:00,187
29-09-18 01:00,186
29-09-18 00:00,185
28-09-18 23:00,183
28-09-18 22:00,21
28-09-18 21:00,333
28-09-18 20:00,339
28-09-18 19:00,346
28-09-18 18:00,344
28-09-18 17:00,336
28-09-18 16:00,352
28-09-18 15:00,347
28-09-18 14:00,343
28-09-18 13:00,342
28-09-18 12:00,342
28-09-18 11:00,350
28-09-18 10:00,1
28-09-18 09:00,312
28-09-18 08:00,334
28-09-18 07:00,32
28-09-18 06:00,102
28-09-18 05:00,168
28-09-18 04:00,136
28-09-18 03:00,11
28-09-18 02:00,106
28-09-18 01:00,135
28-09-18 00:00,171
27-09-18 23:00,355
27-09-18 22:00,79
27-09-18 21:00,357
27-09-18 20:00,171
27-09-18 19:00,186
27-09-18 18:00,191
27-09-18 17:00,207
27-09-18 16:00,209
27-09-18 15:00,198
27-09-18 14:00,194
27-09-18 13:00,199
27-09-18 12:00,174
27-09-18 11:00,160
27-09-18 10:00,339
27-09-18 09:00,322
27-09-18 08:00,301
27-09-18 07:00,105
27-09-18 06:00,289
27-09-18 05:00,159
27-09-18 04:00,182
27-09-18 03:00,138
27-09-18 02:00,137
27-09-18 01:00,166
27-09-18 00:00,183
26-09-18 23:00,191
26-09-18 22:00,195
26-09-18 21:00,193
26-09-18 20:00,197
26-09-18 19:00,187
26-09-18 18:00,197
26-09-18 17:00,193
26-09-18 16:00,205
26-09-18 15:00,253
26-09-18 14:00,201
26-09-18 13:00,192
26-09-18 12:00,192
26-09-18 11:00,178
26-09-18 10:00,178
26-09-18 09:00,274
26-09-18 08:00,300
26-09-18 07:00,308
26-09-18 06:00,275
26-09-18 05:00,249
26-09-18 04:00,261
26-09-18 03:00,300
26-09-18 02:00,279
26-09-18 01:00,194
26-09-18 00:00,157
25-09-18 23:00,176
25-09-18 22:00,168
25-09-18 21:00,185
25-09-18 20:00,184
25-09-18 19:00,174
25-09-18 18:00,343
25-09-18 17:00,354
25-09-18 16:00,324
25-09-18 15:00,335
25-09-18 14:00,337
25-09-18 13:00,318
25-09-18 12:00,345
25-09-18 11:00,327
25-09-18 10:00,324
25-09-18 09:00,314
25-09-18 08:00,147
25-09-18 07:00,167
25-09-18 06:00,178
25-09-18 05:00,183
25-09-18 04:00,186
25-09-18 03:00,195
25-09-18 02:00,162
25-09-18 01:00,170
25-09-18 00:00,188
24-09-18 23:00,184
24-09-18 22:00,197
24-09-18 21:00,192
24-09-18 20:00,175
24-09-18 19:00,186
24-09-18 18:00,310
24-09-18 17:00,339
24-09-18 16:00,304
24-09-18 15:00,318
24-09-18 14:00,317
24-09-18 13:00,320
24-09-18 12:00,307
24-09-18 11:00,313
24-09-18 10:00,308
24-09-18 09:00,299
24-09-18 08:00,300
24-09-18 07:00,288
24-09-18 06:00,281
24-09-18 05:00,287
24-09-18 04:00,296
24-09-18 03:00,295
24-09-18 02:00,298
24-09-18 01:00,299
24-09-18 00:00,320
23-09-18 23:00,320
23-09-18 22:00,318
23-09-18 21:00,326
23-09-18 20:00,320
23-09-18 19:00,314
23-09-18 18:00,302
23-09-18 17:00,212
23-09-18 16:00,196
23-09-18 15:00,180
23-09-18 14:00,180
23-09-18 13:00,177
23-09-18 12:00,178
23-09-18 11:00,174
23-09-18 10:00,183
23-09-18 09:00,178
23-09-18 08:00,168
23-09-18 07:00,176
23-09-18 06:00,196
23-09-18 05:00,195
23-09-18 04:00,194
23-09-18 03:00,194
23-09-18 02:00,198
23-09-18 01:00,179
23-09-18 00:00,198
22-09-18 23:00,204
22-09-18 22:00,195
22-09-18 21:00,183
22-09-18 20:00,194
22-09-18 19:00,210
22-09-18 18:00,213
22-09-18 17:00,233
22-09-18 16:00,260
22-09-18 15:00,227
22-09-18 14:00,241
22-09-18 13:00,251
22-09-18 12:00,257
22-09-18 11:00,267
22-09-18 10:00,250
22-09-18 09:00,218
22-09-18 08:00,210
22-09-18 07:00,192
22-09-18 06:00,180
22-09-18 05:00,192
22-09-18 04:00,194
22-09-18 03:00,212
22-09-18 02:00,200
22-09-18 01:00,192
22-09-18 00:00,209
21-09-18 23:00,206
21-09-18 22:00,226
21-09-18 21:00,208
21-09-18 20:00,194
21-09-18 19:00,305
21-09-18 18:00,308
21-09-18 17:00,237
21-09-18 16:00,238
21-09-18 15:00,228
21-09-18 14:00,199
21-09-18 13:00,201
21-09-18 12:00,195
21-09-18 11:00,183
21-09-18 10:00,177
21-09-18 09:00,173
21-09-18 08:00,181
21-09-18 07:00,185
21-09-18 06:00,186
21-09-18 05:00,188
21-09-18 04:00,172
21-09-18 03:00,305
21-09-18 02:00,307
21-09-18 01:00,310
21-09-18 00:00,336
20-09-18 23:00,322
20-09-18 22:00,249
20-09-18 21:00,184
20-09-18 20:00,188
20-09-18 19:00,194
20-09-18 18:00,190
20-09-18 17:00,204
20-09-18 16:00,185
20-09-18 15:00,193
20-09-18 14:00,194
20-09-18 13:00,198
20-09-18 12:00,199
20-09-18 11:00,163
20-09-18 10:00,177
20-09-18 09:00,229
20-09-18 08:00,291
20-09-18 07:00,317
20-09-18 06:00,169
20-09-18 05:00,173
20-09-18 04:00,156
20-09-18 03:00,136
20-09-18 02:00,168
20-09-18 01:00,162
20-09-18 00:00,135
19-09-18 23:00,155
19-09-18 22:00,40
19-09-18 21:00,313
19-09-18 20:00,208
19-09-18 19:00,193
19-09-18 18:00,186
19-09-18 17:00,194
19-09-18 16:00,192
19-09-18 15:00,191
19-09-18 14:00,189
19-09-18 13:00,175
19-09-18 12:00,250
19-09-18 11:00,178
19-09-18 10:00,251
19-09-18 09:00,339
19-09-18 08:00,258
19-09-18 07:00,242
19-09-18 06:00,5
19-09-18 05:00,79
19-09-18 04:00,87
19-09-18 03:00,154
19-09-18 02:00,138
19-09-18 01:00,145
19-09-18 00:00,155
18-09-18 23:00,165
18-09-18 22:00,160
18-09-18 21:00,176
18-09-18 20:00,183
18-09-18 19:00,181
18-09-18 18:00,200
18-09-18 17:00,188
18-09-18 16:00,183
18-09-18 15:00,200
18-09-18 14:00,184
18-09-18 13:00,185
18-09-18 12:00,191
18-09-18 11:00,181
18-09-18 10:00,172
18-09-18 09:00,306
18-09-18 08:00,290
18-09-18 07:00,253
18-09-18 06:00,31
18-09-18 05:00,74
18-09-18 04:00,45
18-09-18 03:00,334
18-09-18 02:00,345
18-09-18 01:00,112
18-09-18 00:00,140
17-09-18 23:00,164
17-09-18 22:00,150
17-09-18 21:00,183
17-09-18 20:00,186
17-09-18 19:00,175
17-09-18 18:00,191
17-09-18 17:00,208
17-09-18 16:00,192
17-09-18 15:00,202
17-09-18 14:00,169
17-09-18 13:00,167
17-09-18 12:00,165
17-09-18 11:00,169
17-09-18 10:00,183
17-09-18 09:00,285
17-09-18 08:00,281
17-09-18 07:00,302
17-09-18 06:00,11
17-09-18 05:00,15
17-09-18 04:00,332
17-09-18 03:00,138
17-09-18 02:00,244
17-09-18 01:00,77
17-09-18 00:00,176
16-09-18 23:00,143
16-09-18 22:00,161
16-09-18 21:00,181
16-09-18 20:00,177
16-09-18 19:00,155
16-09-18 18:00,163
16-09-18 17:00,235
16-09-18 16:00,157
16-09-18 15:00,164
16-09-18 14:00,160
16-09-18 13:00,158
16-09-18 12:00,157
16-09-18 11:00,153
16-09-18 10:00,335
16-09-18 09:00,308
16-09-18 08:00,296
16-09-18 07:00,318
16-09-18 06:00,164
16-09-18 05:00,177
16-09-18 04:00,165
16-09-18 03:00,168
16-09-18 02:00,141
16-09-18 01:00,181
16-09-18 00:00,175
15-09-18 23:00,186
15-09-18 22:00,185
15-09-18 21:00,189
15-09-18 20:00,186
15-09-18 19:00,287
15-09-18 18:00,309
15-09-18 17:00,309
15-09-18 16:00,328
15-09-18 15:00,307
15-09-18 14:00,326
15-09-18 13:00,313
15-09-18 12:00,305
15-09-18 11:00,327
15-09-18 10:00,334
15-09-18 09:00,327
15-09-18 08:00,296
15-09-18 07:00,181
15-09-18 06:00,164
15-09-18 05:00,153
15-09-18 04:00,251
15-09-18 03:00,314
15-09-18 02:00,1
15-09-18 01:00,136
15-09-18 00:00,139
14-09-18 23:00,133
14-09-18 22:00,175
14-09-18 21:00,178
14-09-18 20:00,190
14-09-18 19:00,159
14-09-18 18:00,9
14-09-18 17:00,351
14-09-18 16:00,61
14-09-18 15:00,70
14-09-18 14:00,346
14-09-18 13:00,25
14-09-18 12:00,359
14-09-18 11:00,10
14-09-18 10:00,356
14-09-18 09:00,4
14-09-18 08:00,345
14-09-18 07:00,340
14-09-18 06:00,353
14-09-18 05:00,341
14-09-18 04:00,334
14-09-18 03:00,343
14-09-18 02:00,357
14-09-18 01:00,351
14-09-18 00:00,350
13-09-18 23:00,342
13-09-18 22:00,342
13-09-18 21:00,347
13-09-18 20:00,348
13-09-18 19:00,353
13-09-18 18:00,350
13-09-18 17:00,342
13-09-18 16:00,330
13-09-18 15:00,332
13-09-18 14:00,347
13-09-18 13:00,341
13-09-18 12:00,354
13-09-18 11:00,330
13-09-18 10:00,347
13-09-18 09:00,347
13-09-18 08:00,359
13-09-18 07:00,5
13-09-18 06:00,357
13-09-18 05:00,341
13-09-18 04:00,6
13-09-18 03:00,355
13-09-18 02:00,19
13-09-18 01:00,12
13-09-18 00:00,5
12-09-18 23:00,348
12-09-18 22:00,1
12-09-18 21:00,349
12-09-18 20:00,182
12-09-18 19:00,180
12-09-18 18:00,258
12-09-18 17:00,268
12-09-18 16:00,241
12-09-18 15:00,259
