Datum Zeit,Bautzen FEUCHT
,PROZ
01-10-18 00:00,56.9
30-09-18 23:00,55.2
30-09-18 22:00,54.2
30-09-18 21:00,56.3
30-09-18 20:00,56.5
30-09-18 19:00,50.7
30-09-18 18:00,40.4
30-09-18 17:00,32.8
30-09-18 16:00,30.5
30-09-18 15:00,31.1
30-09-18 14:00,33.7
30-09-18 13:00,34.7
30-09-18 12:00,38.5
30-09-18 11:00,43.6
30-09-18 10:00,46.6
30-09-18 09:00,54.0
30-09-18 08:00,58.7
30-09-18 07:00,61.2
30-09-18 06:00,63.1
30-09-18 05:00,73.0
30-09-18 04:00,80.0
30-09-18 03:00,80.7
30-09-18 02:00,81.4
30-09-18 01:00,81.4
30-09-18 00:00,78.9
29-09-18 23:00,79.2
29-09-18 22:00,78.1
29-09-18 21:00,77.1
29-09-18 20:00,73.1
29-09-18 19:00,63.9
29-09-18 18:00,45.5
29-09-18 17:00,36.8
29-09-18 16:00,37.8
29-09-18 15:00,40.9
29-09-18 14:00,46.5
29-09-18 13:00,50.1
29-09-18 12:00,55.6
29-09-18 11:00,59.0
29-09-18 10:00,63.7
29-09-18 09:00,75.3
29-09-18 08:00,82.0
29-09-18 07:00,89.0
29-09-18 06:00,90.0
29-09-18 05:00,86.0
29-09-18 04:00,86.1
29-09-18 03:00,87.9
29-09-18 02:00,87.9
29-09-18 01:00,86.7
29-09-18 00:00,83.1
28-09-18 23:00,71.7
28-09-18 22:00,67.9
28-09-18 21:00,64.9
28-09-18 20:00,62.6
28-09-18 19:00,67.4
28-09-18 18:00,63.6
28-09-18 17:00,76.3
28-09-18 16:00,83.7
28-09-18 15:00,87.4
28-09-18 14:00,93.0
28-09-18 13:00,93.1
28-09-18 12:00,77.6
28-09-18 11:00,67.2
28-09-18 10:00,60.5
28-09-18 09:00,59.1
28-09-18 08:00,60.7
28-09-18 07:00,63.3
28-09-18 06:00,63.8
28-09-18 05:00,65.9
28-09-18 04:00,59.5
28-09-18 03:00,60.7
28-09-18 02:00,63.0
28-09-18 01:00,62.6
28-09-18 00:00,64.2
27-09-18 23:00,64.3
27-09-18 22:00,64.7
27-09-18 21:00,69.5
27-09-18 20:00,67.8
27-09-18 19:00,64.1
27-09-18 18:00,58.7
27-09-18 17:00,53.4
27-09-18 16:00,53.3
27-09-18 15:00,55.5
27-09-18 14:00,60.2
27-09-18 13:00,62.6
27-09-18 12:00,61.7
27-09-18 11:00,59.7
27-09-18 10:00,61.8
27-09-18 09:00,59.5
27-09-18 08:00,55.9
27-09-18 07:00,48.8
27-09-18 06:00,45.5
27-09-18 05:00,43.5
27-09-18 04:00,41.4
27-09-18 03:00,41.0
27-09-18 02:00,40.3
27-09-18 01:00,40.1
27-09-18 00:00,40.4
26-09-18 23:00,41.9
26-09-18 22:00,43.9
26-09-18 21:00,48.8
26-09-18 20:00,48.7
26-09-18 19:00,47.0
26-09-18 18:00,45.3
26-09-18 17:00,40.7
26-09-18 16:00,38.0
26-09-18 15:00,35.3
26-09-18 14:00,34.9
26-09-18 13:00,35.9
26-09-18 12:00,40.1
26-09-18 11:00,45.8
26-09-18 10:00,48.5
26-09-18 09:00,54.0
26-09-18 08:00,65.8
26-09-18 07:00,69.0
26-09-18 06:00,72.9
26-09-18 05:00,73.9
26-09-18 04:00,77.2
26-09-18 03:00,75.0
26-09-18 02:00,74.7
26-09-18 01:00,79.0
26-09-18 00:00,79.1
25-09-18 23:00,76.9
25-09-18 22:00,75.4
25-09-18 21:00,71.1
25-09-18 20:00,66.5
25-09-18 19:00,56.1
25-09-18 18:00,44.3
25-09-18 17:00,38.9
25-09-18 16:00,38.6
25-09-18 15:00,40.0
25-09-18 14:00,44.0
25-09-18 13:00,51.3
25-09-18 12:00,53.7
25-09-18 11:00,67.0
25-09-18 10:00,71.4
25-09-18 09:00,78.9
25-09-18 08:00,83.8
25-09-18 07:00,87.4
25-09-18 06:00,89.7
25-09-18 05:00,88.7
25-09-18 04:00,87.4
25-09-18 03:00,86.8
25-09-18 02:00,85.9
25-09-18 01:00,83.8
25-09-18 00:00,82.6
24-09-18 23:00,82.8
24-09-18 22:00,80.8
24-09-18 21:00,78.6
24-09-18 20:00,75.5
24-09-18 19:00,69.6
24-09-18 18:00,64.3
24-09-18 17:00,55.7
24-09-18 16:00,53.3
24-09-18 15:00,54.8
24-09-18 14:00,67.3
24-09-18 13:00,79.5
24-09-18 12:00,64.1
24-09-18 11:00,65.0
24-09-18 10:00,71.2
24-09-18 09:00,78.0
24-09-18 08:00,82.5
24-09-18 07:00,85.2
24-09-18 06:00,85.9
