Datum Zeit,Chemnitz-Hans-Link-Straße FEUCHT
,PROZ
01-10-18 00:00,
30-09-18 23:00,
30-09-18 22:00,
30-09-18 21:00,
30-09-18 20:00,
30-09-18 19:00,
30-09-18 18:00,
30-09-18 17:00,
30-09-18 16:00,
30-09-18 15:00,
30-09-18 14:00,
30-09-18 13:00,
30-09-18 12:00,
30-09-18 11:00,
30-09-18 10:00,
30-09-18 09:00,
30-09-18 08:00,
30-09-18 07:00,
30-09-18 06:00,
30-09-18 05:00,
30-09-18 04:00,85.9
30-09-18 03:00,86.5
30-09-18 02:00,85.7
30-09-18 01:00,85.0
30-09-18 00:00,85.9
29-09-18 23:00,85.0
29-09-18 22:00,79.7
29-09-18 21:00,79.9
29-09-18 20:00,80.1
29-09-18 19:00,75.0
29-09-18 18:00,58.4
29-09-18 17:00,41.1
29-09-18 16:00,39.5
29-09-18 15:00,43.4
29-09-18 14:00,47.1
29-09-18 13:00,53.8
29-09-18 12:00,59.2
29-09-18 11:00,66.2
29-09-18 10:00,70.2
29-09-18 09:00,71.2
29-09-18 08:00,91.4
29-09-18 07:00,93.3
29-09-18 06:00,93.0
29-09-18 05:00,92.5
29-09-18 04:00,92.0
29-09-18 03:00,92.8
29-09-18 02:00,92.2
29-09-18 01:00,91.1
29-09-18 00:00,89.4
28-09-18 23:00,86.0
28-09-18 22:00,80.4
28-09-18 21:00,67.8
28-09-18 20:00,71.2
28-09-18 19:00,75.4
28-09-18 18:00,62.3
28-09-18 17:00,76.3
28-09-18 16:00,83.6
28-09-18 15:00,87.8
28-09-18 14:00,92.6
28-09-18 13:00,92.4
28-09-18 12:00,79.3
28-09-18 11:00,64.8
28-09-18 10:00,58.7
28-09-18 09:00,57.9
28-09-18 08:00,85.2
28-09-18 07:00,87.3
28-09-18 06:00,85.7
28-09-18 05:00,83.5
28-09-18 04:00,81.5
28-09-18 03:00,78.6
28-09-18 02:00,75.9
28-09-18 01:00,74.9
28-09-18 00:00,75.5
27-09-18 23:00,78.0
27-09-18 22:00,80.7
27-09-18 21:00,86.9
27-09-18 20:00,85.2
27-09-18 19:00,79.4
27-09-18 18:00,66.1
27-09-18 17:00,44.3
27-09-18 16:00,41.5
27-09-18 15:00,41.9
27-09-18 14:00,44.2
27-09-18 13:00,51.9
27-09-18 12:00,53.9
27-09-18 11:00,46.6
27-09-18 10:00,47.8
27-09-18 09:00,49.0
27-09-18 08:00,49.3
27-09-18 07:00,47.2
27-09-18 06:00,54.0
27-09-18 05:00,62.4
27-09-18 04:00,56.8
27-09-18 03:00,54.6
27-09-18 02:00,50.1
27-09-18 01:00,61.0
27-09-18 00:00,64.7
26-09-18 23:00,65.4
