Datum Zeit,Zittau-Ost FEUCHT
,PROZ
01-10-18 00:00,74.1
30-09-18 23:00,63.8
30-09-18 22:00,57.6
30-09-18 21:00,57.6
30-09-18 20:00,60.5
30-09-18 19:00,58.9
30-09-18 18:00,43.7
30-09-18 17:00,37.5
30-09-18 16:00,37.8
30-09-18 15:00,37.0
30-09-18 14:00,38.2
30-09-18 13:00,39.5
30-09-18 12:00,42.4
30-09-18 11:00,46.6
30-09-18 10:00,50.7
30-09-18 09:00,55.6
30-09-18 08:00,58.8
30-09-18 07:00,62.9
30-09-18 06:00,63.2
30-09-18 05:00,72.9
30-09-18 04:00,89.3
30-09-18 03:00,88.3
30-09-18 02:00,87.7
30-09-18 01:00,86.6
30-09-18 00:00,84.6
29-09-18 23:00,83.3
29-09-18 22:00,81.7
29-09-18 21:00,79.0
29-09-18 20:00,73.4
29-09-18 19:00,67.1
29-09-18 18:00,48.3
29-09-18 17:00,36.5
29-09-18 16:00,35.4
29-09-18 15:00,36.9
29-09-18 14:00,40.3
29-09-18 13:00,44.8
29-09-18 12:00,49.9
29-09-18 11:00,60.9
29-09-18 10:00,69.6
29-09-18 09:00,75.4
29-09-18 08:00,84.4
29-09-18 07:00,88.2
29-09-18 06:00,87.7
29-09-18 05:00,88.0
29-09-18 04:00,87.5
29-09-18 03:00,85.7
29-09-18 02:00,83.5
29-09-18 01:00,73.4
29-09-18 00:00,68.1
28-09-18 23:00,62.0
28-09-18 22:00,59.9
28-09-18 21:00,58.0
28-09-18 20:00,62.8
28-09-18 19:00,67.7
28-09-18 18:00,76.7
28-09-18 17:00,77.3
28-09-18 16:00,82.0
28-09-18 15:00,86.7
28-09-18 14:00,80.5
28-09-18 13:00,69.8
28-09-18 12:00,60.3
28-09-18 11:00,58.1
28-09-18 10:00,57.2
28-09-18 09:00,64.8
28-09-18 08:00,77.2
28-09-18 07:00,87.0
28-09-18 06:00,84.4
28-09-18 05:00,76.3
28-09-18 04:00,68.2
28-09-18 03:00,68.5
28-09-18 02:00,69.5
28-09-18 01:00,72.8
28-09-18 00:00,69.6
27-09-18 23:00,67.1
27-09-18 22:00,69.6
27-09-18 21:00,75.7
27-09-18 20:00,74.3
27-09-18 19:00,64.5
27-09-18 18:00,54.9
27-09-18 17:00,50.3
27-09-18 16:00,52.5
27-09-18 15:00,53.2
27-09-18 14:00,52.9
27-09-18 13:00,55.7
27-09-18 12:00,60.4
27-09-18 11:00,56.4
27-09-18 10:00,56.0
