Datum Zeit,Brockau WINDRI
,GRAD
01-10-18 00:00,
30-09-18 23:00,
30-09-18 22:00,
30-09-18 21:00,
30-09-18 20:00,
30-09-18 19:00,
30-09-18 18:00,
30-09-18 17:00,
30-09-18 16:00,
30-09-18 15:00,
30-09-18 14:00,
30-09-18 13:00,
30-09-18 12:00,
30-09-18 11:00,
30-09-18 10:00,
30-09-18 09:00,
30-09-18 08:00,
30-09-18 07:00,
30-09-18 06:00,
30-09-18 05:00,
30-09-18 04:00,
30-09-18 03:00,
30-09-18 02:00,
30-09-18 01:00,
30-09-18 00:00,
29-09-18 23:00,
29-09-18 22:00,
29-09-18 21:00,
29-09-18 20:00,
29-09-18 19:00,
29-09-18 18:00,
29-09-18 17:00,
29-09-18 16:00,
29-09-18 15:00,
29-09-18 14:00,
29-09-18 13:00,
29-09-18 12:00,
29-09-18 11:00,
29-09-18 10:00,
29-09-18 09:00,
29-09-18 08:00,
29-09-18 07:00,
29-09-18 06:00,
29-09-18 05:00,
29-09-18 04:00,
29-09-18 03:00,
29-09-18 02:00,
29-09-18 01:00,
29-09-18 00:00,
28-09-18 23:00,
28-09-18 22:00,32
28-09-18 21:00,34
28-09-18 20:00,1
28-09-18 19:00,6
28-09-18 18:00,14
28-09-18 17:00,352
28-09-18 16:00,15
28-09-18 15:00,3
28-09-18 14:00,359
28-09-18 13:00,3
28-09-18 12:00,4
28-09-18 11:00,8
28-09-18 10:00,7
28-09-18 09:00,316
28-09-18 08:00,290
28-09-18 07:00,242
28-09-18 06:00,221
28-09-18 05:00,218
28-09-18 04:00,214
28-09-18 03:00,227
28-09-18 02:00,223
28-09-18 01:00,230
28-09-18 00:00,224
27-09-18 23:00,220
27-09-18 22:00,218
27-09-18 21:00,215
27-09-18 20:00,206
27-09-18 19:00,223
27-09-18 18:00,235
27-09-18 17:00,234
27-09-18 16:00,232
27-09-18 15:00,225
27-09-18 14:00,225
27-09-18 13:00,228
27-09-18 12:00,223
27-09-18 11:00,217
27-09-18 10:00,205
27-09-18 09:00,214
27-09-18 08:00,214
27-09-18 07:00,215
27-09-18 06:00,219
27-09-18 05:00,220
27-09-18 04:00,221
27-09-18 03:00,223
27-09-18 02:00,219
27-09-18 01:00,205
27-09-18 00:00,205
26-09-18 23:00,205
26-09-18 22:00,211
26-09-18 21:00,218
26-09-18 20:00,220
26-09-18 19:00,230
26-09-18 18:00,238
26-09-18 17:00,229
26-09-18 16:00,244
26-09-18 15:00,233
26-09-18 14:00,237
26-09-18 13:00,224
26-09-18 12:00,221
26-09-18 11:00,221
26-09-18 10:00,223
26-09-18 09:00,222
26-09-18 08:00,222
26-09-18 07:00,220
26-09-18 06:00,213
26-09-18 05:00,208
26-09-18 04:00,209
26-09-18 03:00,212
26-09-18 02:00,216
26-09-18 01:00,221
26-09-18 00:00,221
25-09-18 23:00,223
25-09-18 22:00,207
25-09-18 21:00,175
25-09-18 20:00,110
25-09-18 19:00,102
25-09-18 18:00,63
25-09-18 17:00,41
25-09-18 16:00,0
25-09-18 15:00,357
25-09-18 14:00,332
25-09-18 13:00,353
25-09-18 12:00,1
25-09-18 11:00,337
25-09-18 10:00,332
25-09-18 09:00,298
25-09-18 08:00,268
25-09-18 07:00,240
25-09-18 06:00,239
25-09-18 05:00,250
25-09-18 04:00,243
25-09-18 03:00,240
25-09-18 02:00,269
25-09-18 01:00,272
25-09-18 00:00,277
24-09-18 23:00,267
24-09-18 22:00,280
24-09-18 21:00,272
24-09-18 20:00,265
24-09-18 19:00,259
24-09-18 18:00,317
24-09-18 17:00,345
24-09-18 16:00,303
24-09-18 15:00,290
24-09-18 14:00,309
24-09-18 13:00,307
24-09-18 12:00,300
24-09-18 11:00,300
24-09-18 10:00,295
24-09-18 09:00,292
24-09-18 08:00,286
24-09-18 07:00,284
24-09-18 06:00,276
24-09-18 05:00,275
24-09-18 04:00,273
24-09-18 03:00,275
24-09-18 02:00,276
24-09-18 01:00,289
24-09-18 00:00,316
23-09-18 23:00,331
23-09-18 22:00,337
23-09-18 21:00,350
23-09-18 20:00,339
23-09-18 19:00,324
23-09-18 18:00,303
23-09-18 17:00,233
23-09-18 16:00,224
23-09-18 15:00,212
23-09-18 14:00,204
23-09-18 13:00,194
23-09-18 12:00,198
23-09-18 11:00,200
23-09-18 10:00,200
23-09-18 09:00,202
23-09-18 08:00,204
23-09-18 07:00,210
23-09-18 06:00,214
23-09-18 05:00,225
23-09-18 04:00,227
23-09-18 03:00,233
23-09-18 02:00,230
23-09-18 01:00,238
23-09-18 00:00,275
22-09-18 23:00,238
22-09-18 22:00,232
22-09-18 21:00,239
22-09-18 20:00,246
22-09-18 19:00,241
22-09-18 18:00,246
22-09-18 17:00,241
22-09-18 16:00,241
22-09-18 15:00,238
22-09-18 14:00,247
22-09-18 13:00,251
22-09-18 12:00,247
22-09-18 11:00,246
22-09-18 10:00,253
22-09-18 09:00,240
22-09-18 08:00,228
22-09-18 07:00,223
22-09-18 06:00,218
22-09-18 05:00,224
22-09-18 04:00,228
22-09-18 03:00,226
22-09-18 02:00,223
22-09-18 01:00,236
22-09-18 00:00,242
21-09-18 23:00,259
21-09-18 22:00,251
21-09-18 21:00,247
21-09-18 20:00,258
21-09-18 19:00,293
21-09-18 18:00,282
21-09-18 17:00,249
21-09-18 16:00,246
21-09-18 15:00,245
21-09-18 14:00,226
21-09-18 13:00,233
21-09-18 12:00,213
21-09-18 11:00,217
21-09-18 10:00,209
21-09-18 09:00,202
21-09-18 08:00,204
21-09-18 07:00,207
21-09-18 06:00,202
21-09-18 05:00,200
21-09-18 04:00,195
21-09-18 03:00,199
21-09-18 02:00,199
21-09-18 01:00,202
21-09-18 00:00,212
20-09-18 23:00,201
20-09-18 22:00,193
20-09-18 21:00,194
20-09-18 20:00,201
20-09-18 19:00,213
20-09-18 18:00,239
20-09-18 17:00,228
20-09-18 16:00,221
20-09-18 15:00,226
20-09-18 14:00,229
20-09-18 13:00,226
20-09-18 12:00,216
20-09-18 11:00,204
20-09-18 10:00,213
20-09-18 09:00,216
20-09-18 08:00,218
20-09-18 07:00,219
20-09-18 06:00,211
20-09-18 05:00,220
20-09-18 04:00,226
20-09-18 03:00,221
20-09-18 02:00,225
20-09-18 01:00,226
20-09-18 00:00,212
19-09-18 23:00,214
19-09-18 22:00,204
19-09-18 21:00,201
19-09-18 20:00,191
19-09-18 19:00,211
19-09-18 18:00,214
19-09-18 17:00,226
19-09-18 16:00,237
19-09-18 15:00,234
19-09-18 14:00,203
19-09-18 13:00,225
19-09-18 12:00,222
19-09-18 11:00,224
19-09-18 10:00,217
19-09-18 09:00,204
19-09-18 08:00,221
19-09-18 07:00,219
19-09-18 06:00,222
19-09-18 05:00,225
19-09-18 04:00,238
19-09-18 03:00,224
19-09-18 02:00,218
19-09-18 01:00,221
19-09-18 00:00,219
18-09-18 23:00,221
18-09-18 22:00,205
18-09-18 21:00,221
18-09-18 20:00,185
18-09-18 19:00,232
18-09-18 18:00,232
18-09-18 17:00,212
18-09-18 16:00,222
18-09-18 15:00,230
18-09-18 14:00,232
18-09-18 13:00,226
18-09-18 12:00,223
18-09-18 11:00,213
18-09-18 10:00,214
18-09-18 09:00,222
18-09-18 08:00,224
18-09-18 07:00,220
18-09-18 06:00,221
18-09-18 05:00,223
18-09-18 04:00,230
18-09-18 03:00,239
18-09-18 02:00,217
18-09-18 01:00,214
18-09-18 00:00,210
17-09-18 23:00,196
17-09-18 22:00,209
17-09-18 21:00,198
17-09-18 20:00,177
17-09-18 19:00,207
17-09-18 18:00,224
17-09-18 17:00,227
17-09-18 16:00,204
17-09-18 15:00,217
17-09-18 14:00,198
17-09-18 13:00,211
17-09-18 12:00,209
17-09-18 11:00,214
17-09-18 10:00,219
17-09-18 09:00,211
17-09-18 08:00,216
17-09-18 07:00,220
17-09-18 06:00,219
17-09-18 05:00,224
17-09-18 04:00,224
17-09-18 03:00,229
17-09-18 02:00,235
17-09-18 01:00,235
17-09-18 00:00,219
16-09-18 23:00,217
16-09-18 22:00,222
16-09-18 21:00,199
16-09-18 20:00,179
16-09-18 19:00,174
16-09-18 18:00,206
16-09-18 17:00,212
16-09-18 16:00,217
16-09-18 15:00,224
16-09-18 14:00,211
16-09-18 13:00,216
16-09-18 12:00,190
16-09-18 11:00,216
16-09-18 10:00,215
16-09-18 09:00,216
16-09-18 08:00,215
16-09-18 07:00,216
16-09-18 06:00,231
16-09-18 05:00,230
16-09-18 04:00,243
16-09-18 03:00,233
16-09-18 02:00,228
16-09-18 01:00,218
16-09-18 00:00,220
15-09-18 23:00,218
15-09-18 22:00,216
15-09-18 21:00,301
15-09-18 20:00,254
15-09-18 19:00,295
15-09-18 18:00,314
15-09-18 17:00,323
15-09-18 16:00,306
15-09-18 15:00,305
15-09-18 14:00,297
15-09-18 13:00,307
15-09-18 12:00,314
15-09-18 11:00,307
15-09-18 10:00,316
15-09-18 09:00,313
15-09-18 08:00,235
15-09-18 07:00,251
15-09-18 06:00,296
15-09-18 05:00,303
15-09-18 04:00,249
15-09-18 03:00,214
15-09-18 02:00,227
15-09-18 01:00,212
15-09-18 00:00,213
14-09-18 23:00,234
14-09-18 22:00,219
14-09-18 21:00,102
14-09-18 20:00,85
14-09-18 19:00,101
14-09-18 18:00,83
14-09-18 17:00,71
14-09-18 16:00,101
14-09-18 15:00,89
14-09-18 14:00,90
14-09-18 13:00,35
14-09-18 12:00,87
14-09-18 11:00,86
14-09-18 10:00,69
14-09-18 09:00,51
14-09-18 08:00,29
14-09-18 07:00,25
14-09-18 06:00,19
14-09-18 05:00,8
14-09-18 04:00,10
14-09-18 03:00,28
14-09-18 02:00,34
14-09-18 01:00,40
14-09-18 00:00,34
13-09-18 23:00,8
13-09-18 22:00,16
13-09-18 21:00,359
13-09-18 20:00,10
13-09-18 19:00,8
13-09-18 18:00,8
13-09-18 17:00,29
13-09-18 16:00,359
13-09-18 15:00,351
13-09-18 14:00,1
13-09-18 13:00,21
13-09-18 12:00,359
13-09-18 11:00,28
13-09-18 10:00,40
13-09-18 09:00,52
13-09-18 08:00,58
13-09-18 07:00,68
13-09-18 06:00,49
13-09-18 05:00,34
13-09-18 04:00,37
13-09-18 03:00,37
13-09-18 02:00,31
13-09-18 01:00,20
13-09-18 00:00,39
12-09-18 23:00,26
12-09-18 22:00,37
12-09-18 21:00,23
12-09-18 20:00,282
12-09-18 19:00,279
12-09-18 18:00,256
12-09-18 17:00,255
12-09-18 16:00,241
12-09-18 15:00,242
12-09-18 14:00,248
12-09-18 13:00,248
12-09-18 12:00,246
12-09-18 11:00,240
