Datum Zeit,Niesky FEUCHT
,PROZ
01-10-18 00:00,
30-09-18 23:00,
30-09-18 22:00,
30-09-18 21:00,
30-09-18 20:00,
30-09-18 19:00,
30-09-18 18:00,
30-09-18 17:00,
30-09-18 16:00,38.8
30-09-18 15:00,41.1
30-09-18 14:00,40.2
30-09-18 13:00,39.2
30-09-18 12:00,37.0
30-09-18 11:00,41.3
30-09-18 10:00,43.8
30-09-18 09:00,45.5
30-09-18 08:00,57.0
30-09-18 07:00,67.7
30-09-18 06:00,70.1
30-09-18 05:00,73.6
30-09-18 04:00,79.7
30-09-18 03:00,82.7
30-09-18 02:00,87.7
30-09-18 01:00,89.9
30-09-18 00:00,90.7
29-09-18 23:00,87.6
29-09-18 22:00,84.3
29-09-18 21:00,84.5
29-09-18 20:00,83.4
29-09-18 19:00,74.8
29-09-18 18:00,57.2
29-09-18 17:00,39.2
29-09-18 16:00,45.1
29-09-18 15:00,47.9
29-09-18 14:00,47.6
29-09-18 13:00,50.1
29-09-18 12:00,52.7
29-09-18 11:00,58.1
29-09-18 10:00,63.3
29-09-18 09:00,68.6
29-09-18 08:00,78.9
29-09-18 07:00,90.0
29-09-18 06:00,90.0
29-09-18 05:00,89.6
29-09-18 04:00,88.8
29-09-18 03:00,90.9
29-09-18 02:00,90.4
29-09-18 01:00,87.7
29-09-18 00:00,81.3
28-09-18 23:00,80.6
28-09-18 22:00,67.9
28-09-18 21:00,61.5
28-09-18 20:00,61.2
28-09-18 19:00,75.6
28-09-18 18:00,69.9
28-09-18 17:00,76.4
28-09-18 16:00,87.4
28-09-18 15:00,88.3
28-09-18 14:00,90.9
28-09-18 13:00,93.4
28-09-18 12:00,82.3
28-09-18 11:00,66.7
28-09-18 10:00,62.9
28-09-18 09:00,56.1
28-09-18 08:00,56.9
28-09-18 07:00,62.8
28-09-18 06:00,63.4
28-09-18 05:00,77.2
28-09-18 04:00,67.2
28-09-18 03:00,64.3
28-09-18 02:00,65.1
28-09-18 01:00,65.1
28-09-18 00:00,66.4
27-09-18 23:00,69.0
27-09-18 22:00,73.7
27-09-18 21:00,75.4
27-09-18 20:00,75.0
27-09-18 19:00,76.5
27-09-18 18:00,65.3
27-09-18 17:00,49.8
27-09-18 16:00,56.9
27-09-18 15:00,57.5
27-09-18 14:00,60.7
27-09-18 13:00,60.2
27-09-18 12:00,58.7
27-09-18 11:00,59.6
27-09-18 10:00,62.4
27-09-18 09:00,64.2
27-09-18 08:00,56.6
27-09-18 07:00,48.2
27-09-18 06:00,45.1
27-09-18 05:00,44.3
27-09-18 04:00,43.5
27-09-18 03:00,42.7
27-09-18 02:00,40.9
27-09-18 01:00,41.2
