Datum Zeit,Freiberg WINDRI
,GRAD
01-10-18 00:00,154
30-09-18 23:00,149
30-09-18 22:00,138
30-09-18 21:00,137
30-09-18 20:00,144
30-09-18 19:00,151
30-09-18 18:00,153
30-09-18 17:00,150
30-09-18 16:00,148
30-09-18 15:00,150
30-09-18 14:00,138
30-09-18 13:00,131
30-09-18 12:00,137
30-09-18 11:00,139
30-09-18 10:00,152
30-09-18 09:00,158
30-09-18 08:00,163
30-09-18 07:00,158
30-09-18 06:00,151
30-09-18 05:00,139
30-09-18 04:00,155
30-09-18 03:00,150
30-09-18 02:00,150
30-09-18 01:00,146
30-09-18 00:00,149
29-09-18 23:00,151
29-09-18 22:00,147
29-09-18 21:00,140
29-09-18 20:00,125
29-09-18 19:00,102
29-09-18 18:00,65
29-09-18 17:00,98
29-09-18 16:00,17
29-09-18 15:00,96
29-09-18 14:00,16
29-09-18 13:00,358
29-09-18 12:00,339
29-09-18 11:00,311
29-09-18 10:00,355
29-09-18 09:00,300
29-09-18 08:00,211
29-09-18 07:00,161
29-09-18 06:00,131
29-09-18 05:00,134
29-09-18 04:00,135
29-09-18 03:00,135
29-09-18 02:00,138
29-09-18 01:00,140
29-09-18 00:00,140
28-09-18 23:00,97
28-09-18 22:00,330
28-09-18 21:00,326
28-09-18 20:00,333
28-09-18 19:00,331
28-09-18 18:00,323
28-09-18 17:00,321
28-09-18 16:00,315
28-09-18 15:00,324
28-09-18 14:00,335
28-09-18 13:00,326
28-09-18 12:00,336
28-09-18 11:00,320
28-09-18 10:00,318
28-09-18 09:00,317
28-09-18 08:00,309
28-09-18 07:00,211
28-09-18 06:00,243
28-09-18 05:00,200
28-09-18 04:00,141
28-09-18 03:00,149
28-09-18 02:00,201
28-09-18 01:00,163
28-09-18 00:00,152
27-09-18 23:00,140
27-09-18 22:00,146
27-09-18 21:00,142
27-09-18 20:00,159
27-09-18 19:00,157
27-09-18 18:00,262
27-09-18 17:00,301
27-09-18 16:00,290
27-09-18 15:00,231
27-09-18 14:00,276
27-09-18 13:00,208
27-09-18 12:00,207
27-09-18 11:00,205
27-09-18 10:00,203
27-09-18 09:00,195
27-09-18 08:00,209
27-09-18 07:00,275
27-09-18 06:00,238
27-09-18 05:00,219
27-09-18 04:00,200
27-09-18 03:00,214
27-09-18 02:00,210
27-09-18 01:00,209
27-09-18 00:00,216
26-09-18 23:00,211
26-09-18 22:00,199
26-09-18 21:00,198
26-09-18 20:00,196
26-09-18 19:00,192
26-09-18 18:00,201
26-09-18 17:00,208
26-09-18 16:00,263
26-09-18 15:00,284
26-09-18 14:00,290
26-09-18 13:00,189
26-09-18 12:00,168
26-09-18 11:00,170
26-09-18 10:00,183
26-09-18 09:00,176
26-09-18 08:00,161
26-09-18 07:00,140
26-09-18 06:00,137
26-09-18 05:00,141
26-09-18 04:00,143
26-09-18 03:00,144
26-09-18 02:00,140
26-09-18 01:00,141
26-09-18 00:00,143
25-09-18 23:00,145
25-09-18 22:00,142
25-09-18 21:00,141
25-09-18 20:00,198
25-09-18 19:00,216
25-09-18 18:00,317
25-09-18 17:00,320
25-09-18 16:00,325
25-09-18 15:00,316
25-09-18 14:00,329
25-09-18 13:00,313
25-09-18 12:00,324
25-09-18 11:00,324
25-09-18 10:00,319
25-09-18 09:00,311
25-09-18 08:00,309
25-09-18 07:00,305
